species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence,270121,2426,38.72302,8981.19354,288.39787,1067.65951,35216.00500
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence,224154,1819,39.30958,8115.10149,216.23896,964.68991,31819.98622
CP003831.1_Cryptococcus_neoformans_var._grubii_H99_1_to_774062_reverse_complement_,774062,5610,48.22766,7247.50019,666.90522,861.56587,28418.04954
1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,2762785,19084,32.38331,6907.53516,2268.66651,821.15167,27085.01845
1_CP025712_1_Escherichia_phage_YDC107_1_chromosome__complete_genome_BAC,46701,308,49.86803,6595.28908,36.61440,784.01425,25860.67565
CP003828.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1186808_reverse_complement_,1186808,7695,48.24411,6483.76741,914.76571,770.77795,25423.38993
1_CU928158_2_Escherichia_fergusonii_ATCC_35469_chromosome__complete_genome_BAC,4588711,23467,49.92349,5114.07345,2789.70850,607.95006,20052.70630
CP003821.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1621675_reverse_complement_,1621675,8107,48.23745,4999.13670,963.74342,594.28861,19602.02974
CP003822.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1575141_reverse_complement_,1575141,7513,48.13672,4769.73475,893.12993,567.01544,18702.52569
CP003824.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1814975_reverse_complement_,1814975,6863,48.30161,3781.30888,815.85927,449.51518,14826.82585
CP003830.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1561994_reverse_complement_,1561994,5594,48.00605,3581.32895,665.00317,425.73983,14042.68792
CP003827.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1398693_reverse_complement_,1398693,4915,48.29080,3514.00239,584.28505,417.73615,13778.69490
CP003825.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1422463_reverse_complement_,1422463,4952,48.29710,3481.29297,588.68353,413.84786,13650.43856
1_AL592022_1_Listeria_innocua_Clip11262_complete_genome_BAC,3011208,9766,37.43309,3243.21452,1160.96191,385.54677,12716.91321
1_FR877557_1_Salmonella_bongori_NCTC_12419__culture_collection_SGSC_SARC11__complete_genome_BAC,4460105,11537,51.32243,2586.70750,1371.49474,307.50262,10142.69472
1_CP007025_1_Escherichia_albertii_KF1__complete_genome_BAC,4701875,11165,49.68321,2374.58208,1327.27214,282.28561,9310.93335
1_CP025979_1_Escherichia_marmotae_strain_HT073016_chromosome__complete_genome_BAC,4671322,10969,50.64028,2348.15855,1303.97207,279.14401,9207.32449
CP003826.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1399503_reverse_complement_,1399503,3142,48.15551,2245.08753,373.51447,266.89069,8803.17447
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC,6233254,11860,62.40273,1902.69923,1409.89231,226.18868,7460.64155
CP003832.1_Cryptococcus_neoformans_var._grubii_H99_1_to_756744_reverse_complement_,756744,1435,48.28428,1896.29199,170.58984,225.42583,7435.51821
1_AL009126_3_Bacillus_subtilis_subsp__subtilis_str__168_complete_genome_BAC,4215606,7085,43.50129,1680.65832,842.25017,199.79330,6590.00069
1_FN597254_1_Streptococcus_gallolyticus_UCN34_complete_genome_BAC,2350911,2747,37.63248,1168.48369,326.55769,138.90680,4581.72150
1_AP012054_1_Streptococcus_pasteurianus_ATCC_43144_DNA__complete_genome_BAC,2100077,2450,37.37478,1166.62222,291.25094,138.68573,4574.42253
1_AM263198_1_Listeria_welshimeri_serovar_6b_str__SLCC5334_complete_genome_BAC,2814130,3142,36.34450,1116.50848,373.51447,132.72819,4377.92237
1_AP018335_1_Ureibacillus_thermosphaericus_DNA__complete_geonome__strain__A1_BAC,3488104,3273,36.33444,938.33319,389.08748,111.54693,3679.28229
1_CP002461_1_Lactobacillus_sanfranciscensis_TMW_1_1304__complete_genome_BAC,1298316,1051,34.69328,809.50767,124.94071,96.23282,3174.14674
1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC,2291220,1815,46.21231,792.15440,215.76345,94.16963,3106.10312
1_FR687253_1_Listeria_ivanovii_subsp__ivanovii_PAM_55__complete_genome_BAC,2928879,2296,37.12614,783.91740,272.94374,93.19048,3073.80517
1_FN557490_1_Listeria_seeligeri_serovar_1_2b_str__SLCC3954_complete_genome_BAC,2797636,2054,37.37790,734.19025,244.17528,87.27909,2878.82087
1_CP007557_1_Citrobacter_freundii_CFNIH1__complete_genome_BAC,5099034,3393,52.23701,665.42068,403.35283,79.10374,2609.16968
1_CP001837_1_Staphylococcus_lugdunensis_HKU09_01__complete_genome_BAC,2658366,1628,33.86444,612.40535,193.53328,72.80155,2401.29217
1_AP006716_1_Staphylococcus_haemolyticus_JCSC1435_DNA__complete_genome_BAC,2685015,1634,32.76654,608.56157,194.24655,72.34464,2386.22042
CP003820.1_Cryptococcus_neoformans_var._grubii_H99_1_to_2291499_reverse_complement_,2291499,1009,48.22905,440.32293,119.94784,52.34467,1726.54275
1_FN543502_1_Citrobacter_rodentium_ICC168__complete_genome_BAC,5346659,2249,54.71536,420.63643,267.35648,50.00438,1649.35036
CP027654.1_Torulaspora_delbrueckii_strain_COFT1_chromosome_8__complete_sequence,863982,351,42.28769,406.25940,41.72616,48.29515,1592.97683
CP003823.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1084805_reverse_complement_,1084805,384,48.22771,353.98230,45.64913,42.08049,1387.99397
1_CP000783_1_Cronobacter_sakazakii_ATCC_BAA_894__complete_genome_BAC,4368373,1517,56.76348,347.26912,180.33783,41.28258,1361.67103
1_CP002439_1_Staphylococcus_pseudintermedius_HKU10_03__complete_genome_BAC,2617381,897,37.52765,342.70912,106.63351,40.74052,1343.79090
1_CP009470_1_Staphylococcus_schleiferi_strain_1360_13__complete_genome_BAC,2435632,771,35.94133,316.55054,91.65489,37.63083,1241.22094
1_AP009484_1_Macrococcus_caseolyticus_JCSC5402_DNA__complete_genome_BAC,2102324,635,36.86687,302.04726,75.48749,35.90666,1184.35237
CP003829.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1059964_reverse_complement_,1059964,318,48.41855,300.01132,37.80318,35.66458,1176.36928
CP003833.2_Cryptococcus_neoformans_var._grubii_H99_1_to_942867_reverse_complement_,942867,280,48.07594,296.96565,33.28582,35.30277,1164.42694
1_CP019597_1_Staphylococcus_cohnii_strain_SNUDS_2_chromosome__complete_genome_BAC,2585879,719,32.72250,278.04848,85.47324,33.05382,1090.25115
1_CP022114_1_Kluyvera_georgiana_strain_YDC799_chromosome__complete_genome_BAC,5006140,1357,55.00419,271.06713,161.31736,32.22388,1062.87670
1_CP001918_1_Enterobacter_cloacae_subsp__cloacae_ATCC_13047__complete_genome_BAC,5314581,1378,54.78075,259.28672,163.81379,30.82345,1016.68473
1_CP019986_1_Citrobacter_werkmanii_strain_BF_6_chromosome__complete_genome_BAC,4929789,1176,52.02605,238.54972,139.80045,28.35829,935.37322
1_CP000822_1_Citrobacter_koseri_ATCC_BAA_895__complete_genome_BAC,4720462,1014,53.82155,214.80957,120.54223,25.53609,842.28616
1_CP025001_1_Bacillus_siamensis_strain_SCSIO_05746_chromosome__complete_genome_BAC,4268316,899,45.97541,210.62151,106.87126,25.03826,825.86441
1_CP012554_1_Citrobacter_portucalensis_strain_P10159__complete_genome_BAC,5080321,1002,51.66630,197.23167,119.11569,23.44648,773.36174
1_CP013114_1_Staphylococcus_equorum_strain_KS1039__complete_genome_BAC,2822193,533,33.06998,188.86042,63.36194,22.45130,740.53739
1_CP017962_1_Virgibacillus_halodenitrificans_strain_PDB_F2_chromosome__complete_genome_BAC,3869935,713,37.47986,184.24058,84.75997,21.90216,722.42261
1_HG916765_1_Castellaniella_defragrans_65Phen_complete_genome_BAC,3952818,700,68.96798,177.08876,83.21455,21.05195,694.37973
1_CP020377_1_Staphylococcus_sciuri_strain_SNUDS_18_chromosome__complete_genome_BAC,2673451,456,32.52185,170.56612,54.20834,20.27653,668.80392
AE016820.4_Ashbya_gossypii_ATCC_10895_chromosome_VII__complete_sequence,1800949,306,51.19390,169.91033,36.37665,20.19859,666.23248
1_CP011013_1_Lactobacillus_mucosae_LM1__complete_genome_BAC,2326299,389,46.45541,167.21833,46.24352,19.87857,655.67694
1_CP006731_1_Cronobacter_malonaticus_strain_CMCC45402_chromosome__complete_genome_BAC,4377544,728,56.88370,166.30345,86.54314,19.76979,652.08962
1_HG916826_1_Pseudomonas_pseudoalcaligenes_CECT_5344_complete_genome_BAC,4686340,771,62.35241,164.52071,91.65489,19.55788,645.09937
1_CP003938_1_Enterobacteriaceae_bacterium_strain_FGI_57__complete_genome_BAC,4762179,779,54.01016,163.58055,92.60591,19.44611,641.41289
1_CP014912_1_Lactobacillus_paracollinoides_strain_TMW_1_1979_chromosome__complete_genome_BAC,3235324,527,47.15801,162.88961,62.64867,19.36394,638.70366
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC,2253412,367,31.35331,162.86428,43.62820,19.36094,638.60436
1_CP000411_1_Oenococcus_oeni_PSU_1__complete_genome_BAC,1780517,287,37.87716,161.18887,34.11797,19.16182,632.03492
1_CR936503_1_Lactobacillus_sakei_strain_23K_complete_genome_BAC,1884661,298,41.25272,158.11871,35.42562,18.79680,619.99656
1_CP003583_1_Enterococcus_faecium_DO__complete_genome_BAC,2698137,417,38.13944,154.55091,49.57210,18.37271,606.00695
1_LN906634_1_Lactobacillus_reuteri__complete_genome__strain_ATCC_53608_BAC,1943635,287,38.95241,147.66109,34.11797,17.55368,578.99138
1_CP009365_1_Pseudomonas_soli_strain_SJ10__complete_genome_BAC,6247860,893,63.40077,142.92894,106.15800,16.99109,560.43623
1_CP022695_1_Citrobacter_farmeri_strain_AUSMDU00008141_chromosome__complete_genome_BAC,5130228,707,53.35829,137.81059,84.04670,16.38264,540.36674
1_CP011602_1_Phytobacter_ursingii_strain_CAV1151_chromosome__complete_genome_BAC,5529134,696,52.74046,125.87875,82.73904,14.96419,493.58104
1_CP012873_1_Weissella_cibaria_strain_CH2__complete_genome_BAC,2466961,305,45.08129,123.63395,36.25777,14.69734,484.77896
1_CP001339_1_Thioalkalivibrio_sulfidiphilus_HL_EbGr7_chromosome__complete_genome_BAC,3464554,428,65.07486,123.53697,50.87976,14.68579,484.39870
1_CP003191_1_Tannerella_forsythia_92A2__complete_genome_BAC,3405521,419,46.95995,123.03554,49.80985,14.62620,482.43257
1_CP000517_1_Lactobacillus_helveticus_DPC_4571__complete_genome_BAC,2080931,244,37.06815,117.25527,29.00622,13.93905,459.76762
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC,6062703,683,61.87626,112.65608,81.19363,13.39231,441.73383
1_AP007281_1_Lactobacillus_reuteri_JCM_1112_DNA__complete_genome_BAC,2039414,229,38.86985,112.28738,27.22305,13.34846,440.28812
1_CP004143_1_Pseudomonas_denitrificans_ATCC_13867__complete_genome_BAC,5696307,606,65.25378,106.38466,72.04003,12.64679,417.14308
1_CP018176_1_Lactobacillus_hordei_strain_TMW_1_1822_chromosome__complete_genome_BAC,2422912,252,34.99700,104.00716,29.95724,12.36414,407.82072
1_CP020448_2_Citrobacter_braakii_strain_FDAARGOS_253_chromosome__complete_genome_BAC,5244290,539,52.01808,102.77845,64.07521,12.21808,403.00283
1_CP018898_1_Bordetella_trematum_isolate_E202_chromosome__complete_genome_BAC,4321461,442,65.70331,102.28025,52.54405,12.15886,401.04934
1_AP008934_1_Staphylococcus_saprophyticus_subsp__saprophyticus_ATCC_15305_DNA__complete_genome_BAC,2516575,257,33.23619,102.12272,30.55163,12.14016,400.43167
1_CP014332_1_Weissella_jogaejeotgali_strain_FOL01_chromosome__complete_genome_BAC,2114163,211,38.84090,99.80323,25.08324,11.86438,391.33675
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC,2499279,246,32.09041,98.42835,29.24397,11.70096,385.94572
1_CP005965_1_Bacillus_paralicheniformis_ATCC_9945a__complete_genome_BAC,4376305,418,45.90913,95.51426,49.69098,11.35455,374.51933
CP019491.1_Zygosaccharomyces_parabailii_strain_ATCC_60483_chromosome_2__complete_sequence,2005801,191,42.62920,95.22385,22.70569,11.32000,373.38062
1_AE009952_1_Yersinia_pestis_KIM10+__complete_genome_BAC,4600755,428,47.63327,93.02811,50.87976,11.05900,364.77093
1_CP013614_1_Enterococcus_silesiacus_strain_LMG_23085__complete_genome_BAC,3928141,363,36.39667,92.41015,43.15269,10.98552,362.34786
1_CP003668_1_Staphylococcus_warneri_SG1__complete_genome_BAC,2486042,229,32.72778,92.11437,27.22305,10.95035,361.18807
1_CP004014_1_Staphylococcus_pasteuri_SP1__complete_genome_BAC,2559946,234,32.70244,91.40804,27.81744,10.86641,358.41849
1_CP007208_1_Staphylococcus_xylosus_strain_HKUOPL8__complete_genome_BAC,2836901,258,32.76366,90.94434,30.67051,10.81127,356.60030
1_CP017713_1_Lactobacillus_coryniformis_subsp__coryniformis_KCTC_3167___DSM_20001_chromosome__complete_genome_BAC,2951508,265,43.11041,89.78455,31.50265,10.67340,352.05267
1_CP014872_1_Lactobacillus_lindneri_strain_TMW_1_1993_chromosome__complete_genome_BAC,1389742,123,34.23792,88.50576,14.62199,10.52136,347.03844
1_CP016440_1_Bordetella_pseudohinzii_strain_HI4681_chromosome__complete_genome_BAC,4490371,380,66.65642,84.62554,45.17362,10.06010,331.82378
1_FM177140_1_Lactobacillus_casei_BL23_complete_genome__strain_BL23_BAC,3079196,260,46.32726,84.43752,30.90826,10.03777,331.08651
1_CP020773_1_Staphylococcus_lutrae_strain_ATCC_700373_chromosome__complete_genome_BAC,2533115,208,37.72368,82.11218,24.72661,9.76134,321.96866
1_CP009623_1_Staphylococcus_agnetis_strain_908__complete_genome_BAC,2474434,201,35.76252,81.23083,23.89446,9.65653,318.51282
1_CP012165_1_Enterobacter_hormaechei_subsp__xiangfangensis_strain_34978_chromosome__complete_genome_BAC,4930963,398,55.11823,80.71451,47.31342,9.59516,316.48827
1_CP014016_2_Staphylococcus_simulans_strain_FDAARGOS_124__complete_genome_BAC,2647556,213,35.94547,80.45143,25.32100,9.56391,315.45675
1_CP002764_1_Lactobacillus_kefiranofaciens_ZW3__complete_genome_BAC,2113023,163,37.68690,77.14077,19.37710,9.17032,302.47538
1_CP012366_1_Enterococcus_durans_strain_KLDS6_0933__complete_genome_BAC,2867028,221,37.98341,77.08325,26.27202,9.16350,302.24983
1_CP009048_1_Pseudomonas_alkylphenolica_strain_KL28_chromosome__complete_genome_BAC,5764622,439,60.62865,76.15420,52.18741,9.05305,298.60692
1_AE017333_1_Bacillus_licheniformis_DSM_13___ATCC_14580__complete_genome_BAC,4222645,319,46.18074,75.54516,37.92206,8.98064,296.21883
1_CP014608_1_Obesumbacterium_proteus_strain_DSM_2777__complete_genome_BAC,5011796,375,49.07800,74.82342,44.57923,8.89486,293.38882
1_CP018197_1_Bacillus_safensis_strain_KCTC_12796BP_chromosome__complete_genome_BAC,3935874,283,41.43458,71.90278,33.64246,8.54764,281.93677
1_CP007457_1_Bifidobacterium_pseudolongum_PV8_2__complete_genome_BAC,2032698,146,63.26509,71.82565,17.35618,8.53849,281.63433
1_CP012890_1_Lactobacillus_gallinarum_strain_HFD4__complete_genome_BAC,2317164,163,36.81042,70.34473,19.37710,8.36242,275.82753
1_AP013036_1_Enterococcus_mundtii_QU_25_DNA__complete_genome_BAC,3022186,208,38.59807,68.82426,24.72661,8.18169,269.86565
1_CP023074_1_Enterococcus_thailandicus_strain_a523_chromosome__complete_genome_BAC,2646250,180,36.83936,68.02078,21.39803,8.08617,266.71514
1_CP001129_1_Streptococcus_equi_subsp__zooepidemicus_MGCS10565__complete_genome_BAC,2024171,135,41.83009,66.69400,16.04852,7.92844,261.51272
1_CP011132_1_Citrobacter_amalonaticus_Y19__complete_genome_BAC,5584358,370,53.41333,66.25647,43.98484,7.87643,259.79713
1_CP021874_1_Enterococcus_wangshanyuanii_strain_MN05__complete_genome_BAC,3842361,254,37.47498,66.10521,30.19500,7.85844,259.20400
1_CP043318_1_Enterobacter_chengduensis_strain_WCHECl_C4___WCHECh050004_chromosome__complete_genome_BAC,5111427,329,55.81184,64.36555,39.11084,7.65165,252.38266
1_CP023481_1_Bacillus_glycinifermentans_strain_KBN06P03352_chromosome__complete_genome_BAC,4659467,296,46.06332,63.52654,35.18787,7.55190,249.09283
1_CP011451_1_Nitrosomonas_communis_strain_Nm2__complete_genome_BAC,4067838,254,44.71212,62.44100,30.19500,7.42286,244.83634
1_CP017786_1_Bacillus_xiamenensis_strain_VV3_chromosome__complete_genome_BAC,3637729,227,41.51899,62.40155,26.98529,7.41817,244.68166
1_CP018044_1_Bifidobacterium_choerinum_strain_FMB_1__complete_genome_BAC,2246282,138,65.58983,61.43491,16.40516,7.30325,240.89136
1_CP000813_4_Bacillus_pumilus_SAFR_032_chromosome__complete_genome_BAC,3704641,215,41.27567,58.03533,25.55876,6.89911,227.56134
1_CP017183_1_Enterobacter_xiangfangensis_strain_LMG27195__complete_genome_BAC,4661849,269,55.27380,57.70241,31.97816,6.85954,226.25595
1_CP003153_1_Dechlorosoma_suillum_PS__complete_genome_BAC,3806980,219,65.37831,57.52591,26.03427,6.83856,225.56388
1_CP019609_1_Vagococcus_penaei_strain_CD276__complete_genome_BAC,2365304,134,35.05174,56.65243,15.92964,6.73471,222.13889
1_AP013068_1_Pseudomonas_resinovorans_NBRC_106553_DNA__complete_geonome_BAC,6285863,348,65.57082,55.36235,41.36952,6.58136,217.08038
1_AP012046_1_Tetragenococcus_halophilus_NBRC_12172_DNA__complete_genome_BAC,2562720,140,36.03267,54.62946,16.64291,6.49423,214.20663
1_CP018180_1_Lactobacillus_nagelii_strain_TMW_1_1827_chromosome__complete_genome_BAC,2406166,130,36.66664,54.02777,15.45413,6.42272,211.84737
1_CP007601_1_Staphylococcus_capitis_subsp__capitis_strain_AYP1020__complete_genome_BAC,2443604,132,32.99337,54.01866,15.69189,6.42161,211.81165
1_CP022823_1_Klebsiella_quasivariicola_strain_KPN1705_chromosome__complete_genome_BAC,5540188,299,56.93057,53.96927,35.54450,6.41575,211.61798
1_CP009450_1_Pluralibacter_gergoviae_strain_FB2_chromosome__complete_genome_BAC,5489680,296,59.10452,53.91935,35.18787,6.40982,211.42226
1_CP012257_1_Cronobacter_universalis_NCTC_9529__complete_genome_BAC,4307096,226,57.84732,52.47150,26.86641,6.23771,205.74511
1_CP016598_1_Leuconostoc_lactis_strain_WiKim40_chromosome__complete_genome_BAC,1737502,91,43.31966,52.37410,10.81789,6.22611,205.36319
1_HE999757_2_Carnobacterium_maltaromaticum_LMA28_complete_genome_BAC,3650416,191,34.51177,52.32275,22.70569,6.22002,205.16183
1_AP009332_1_Lactococcus_garvieae_ATCC_49156_DNA__complete_genome_BAC,1950135,102,38.81935,52.30394,12.12555,6.21780,205.08808
1_CP016162_1_Pseudomonas_alcaliphila_JAB1_chromosome__complete_genome_BAC,5340293,275,62.54770,51.49533,32.69143,6.12165,201.91746
1_CP018867_1_Lactobacillus_alimentarius_DSM_20249_chromosome__complete_genome_BAC,2333865,120,35.36451,51.41697,14.26535,6.11233,201.61019
1_CP012269_1_Pediococcus_damnosus_strain_TMW_2_1532_chromosome__complete_genome_BAC,2073735,106,38.24288,51.11538,12.60106,6.07650,200.42763
1_AM902716_1_Bordetella_petrii_strain_DSM_12804__complete_genome_BAC,5287950,270,65.49398,51.05948,32.09704,6.06984,200.20847
1_CP011971_1_Steroidobacter_denitrificans_strain_DSM_18526__complete_genome_BAC,3467246,177,61.66475,51.04910,21.04139,6.06862,200.16777
1_AP012282_1_Melissococcus_plutonius_DAT561_DNA__complete_genome_BAC,1846178,94,31.44144,50.91595,11.17453,6.05279,199.64565
1_AP006725_1_Klebsiella_pneumoniae_subsp__pneumoniae_NTUH_K2044_DNA__complete_genome_BAC,5248520,261,57.67334,49.72830,31.02714,5.91160,194.98881
1_CP021920_1_Bacillus_sonorensis_strain_SRCM101395_chromosome__complete_genome_BAC,4832293,240,45.19469,49.66589,28.53070,5.90417,194.74409
1_CP001560_1_Shimwellia_blattae_DSM_4481___NBRC_105725__complete_genome_BAC,4158725,197,56.50522,47.37034,23.41895,5.63128,185.74305
1_CP017482_1_Pectobacterium_polaris_strain_NIBIO1392_chromosome__complete_genome_BAC,5008416,237,51.98083,47.32031,28.17407,5.62534,185.54687
1_AE016825_1_Chromobacterium_violaceum_ATCC_12472__complete_genome_BAC,4751080,224,64.84668,47.14717,26.62866,5.60476,184.86798
1_CP010415_1_Azotobacter_chroococcum_NCIMB_8003__complete_genome_BAC,4591803,212,66.28947,46.16926,25.20212,5.48850,181.03349
1_CP019445_1_Kosakonia_cowanii_strain_888_76_chromosome__complete_genome_BAC,4646998,214,56.28121,46.05122,25.43988,5.47447,180.57064
1_CP023501_1_Weissella_paramesenteroides_strain_FDAARGOS_414_chromosome__complete_genome_BAC,1947910,88,38.08473,45.17663,10.46126,5.37050,177.14130
1_CP000412_1_Lactobacillus_delbrueckii_subsp__bulgaricus_ATCC_BAA_365__complete_genome_BAC,1856951,83,49.67692,44.69695,9.86687,5.31348,175.26045
1_CP007215_3_Kosakonia_sacchari_SP1_chromosome__complete_genome_BAC,4902027,219,53.73717,44.67537,26.03427,5.31092,175.17583
1_CP021059_1_Macrococcus_canis_strain_KM45013_chromosome__complete_genome_BAC,2363414,105,37.08534,44.42733,12.48218,5.28142,174.20325
1_AP014680_1_Lactobacillus_hokkaidonensis_DNA__complete_genome_BAC,2277985,101,38.11205,44.33733,12.00667,5.27074,173.85036
1_CP008788_1_Klebsiella_oxytoca_KONIH1__complete_genome_BAC,6152190,266,55.90898,43.23664,31.62153,5.13988,169.53444
1_AP009385_1_Burkholderia_multivorans_ATCC_17616_DNA__complete_genome__chromosome_1_BAC,3448421,149,66.89722,43.20819,17.71281,5.13650,169.42291
1_CP003504_1_Enterococcus_hirae_ATCC_9790__complete_genome_BAC,2827741,122,36.92730,43.14399,14.50311,5.12886,169.17118
1_CP004345_1_Morganella_morganii_subsp__morganii_KT__complete_genome_BAC,3799539,163,51.13463,42.89993,19.37710,5.09985,168.21418
1_CP015839_1_Marinobacterium_aestuarii_strain_ST58_10__complete_genome_BAC,5191608,220,58.79100,42.37606,26.15315,5.03758,166.16006
1_CP001157_1_Azotobacter_vinelandii_DJ__complete_genome_BAC,5365318,227,65.69439,42.30875,26.98529,5.02958,165.89613
1_CP017996_1_Lactobacillus_crustorum_strain_MN047_chromosome__complete_genome_BAC,2261471,94,35.01025,41.56588,11.17453,4.94126,162.98328
1_CP014067_2_Enterococcus_gallinarum_strain_FDAARGOS_163_chromosome__complete_genome_BAC,3733350,153,42.38992,40.98196,18.18832,4.87185,160.69366
1_CP002272_1_Enterobacter_lignolyticus_SCF1__complete_genome_BAC,4814049,196,57.01379,40.71416,23.30008,4.84001,159.64360
1_CP012252_1_Klebsiella_quasipneumoniae_strain_HKUOPLA__complete_genome_BAC,5090052,207,58.03578,40.66758,24.60773,4.83447,159.46094
1_CP017267_1_Vagococcus_teuberi_strain_DSM_21459_chromosome__complete_genome_BAC,2169060,87,34.12075,40.10954,10.34238,4.76814,157.27284
1_CP000896_1_Acholeplasma_laidlawii_PG_8A__complete_genome_BAC,1496992,60,31.92446,40.08043,7.13268,4.76467,157.15868
1_CP011574_1_Klebsiella_aerogenes_strain_CAV1320_chromosome__complete_genome_BAC,5124987,199,54.99618,38.82934,23.65671,4.61595,152.25308
1_CP018758_1_Pseudomonas_psychrotolerans_strain_PRS08_11306__complete_genome_BAC,5271920,201,64.80454,38.12653,23.89446,4.53240,149.49728
1_FN543093_2_Cronobacter_turicensis_z3032_complete_genome_BAC,4384463,166,57.41434,37.86099,19.73374,4.50083,148.45609
