species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
CP003825.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1422463_reverse_complement_,1422463,4932,48.29710,3467.23282,594.21042,417.73352,13673.24243
1_AL592022_1_Listeria_innocua_Clip11262_complete_genome_BAC,3011208,9710,37.43309,3224.61735,1169.86683,388.50427,12716.47363
1_FR877557_1_Salmonella_bongori_NCTC_12419__culture_collection_SGSC_SARC11__complete_genome_BAC,4460105,11450,51.32243,2567.20126,1379.50311,309.29846,10123.91350
1_CP007025_1_Escherichia_albertii_KF1__complete_genome_BAC,4701875,11077,49.68321,2355.86616,1334.56384,283.83663,9290.50077
1_CP025979_1_Escherichia_marmotae_strain_HT073016_chromosome__complete_genome_BAC,4671322,10861,50.64028,2325.03875,1308.54003,280.12209,9168.93099
CP003826.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1399503_reverse_complement_,1399503,3129,48.15551,2235.79850,376.98386,269.36983,8817.00667
CP003832.1_Cryptococcus_neoformans_var._grubii_H99_1_to_756744_reverse_complement_,756744,1431,48.28428,1891.00616,172.40777,227.82851,7457.29721
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC,6233254,11626,62.40273,1865.15863,1400.70770,224.71541,7355.36590
1_AL009126_3_Bacillus_subtilis_subsp__subtilis_str__168_complete_genome_BAC,4215606,7051,43.50129,1672.59305,849.50886,201.51529,6595.97191
1_AM263198_1_Listeria_welshimeri_serovar_6b_str__SLCC5334_complete_genome_BAC,2814130,3129,36.34450,1111.88893,376.98386,133.96114,4384.80128
1_FN597254_1_Streptococcus_gallolyticus_UCN34_complete_genome_BAC,2350911,1921,37.63248,817.13039,231.44327,98.44835,3222.40313
1_AP012054_1_Streptococcus_pasteurianus_ATCC_43144_DNA__complete_genome_BAC,2100077,1661,37.37478,790.92225,200.11831,95.29098,3119.04975
1_CP002461_1_Lactobacillus_sanfranciscensis_TMW_1_1304__complete_genome_BAC,1298316,1024,34.69328,788.71157,123.37216,95.02475,3110.33178
1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC,2291220,1800,46.21231,785.60767,216.86512,94.65051,3098.09137
1_FR687253_1_Listeria_ivanovii_subsp__ivanovii_PAM_55__complete_genome_BAC,2928879,2286,37.12614,780.50313,275.41870,94.03557,3077.96131
1_FN557490_1_Listeria_seeligeri_serovar_1_2b_str__SLCC3954_complete_genome_BAC,2797636,2043,37.37790,730.25836,246.14191,87.98215,2879.81803
1_CP007557_1_Citrobacter_freundii_CFNIH1__complete_genome_BAC,5099034,3343,52.23701,655.61489,402.76672,78.98885,2585.45700
1_AP018335_1_Ureibacillus_thermosphaericus_DNA__complete_geonome__strain__A1_BAC,3488104,2213,36.33444,634.44282,266.62361,76.43800,2501.96365
1_CP001837_1_Staphylococcus_lugdunensis_HKU09_01__complete_genome_BAC,2658366,1607,33.86444,604.50577,193.61236,72.83136,2383.90508
1_AP006716_1_Staphylococcus_haemolyticus_JCSC1435_DNA__complete_genome_BAC,2685015,1510,32.76654,562.37942,181.92574,67.75597,2217.77729
CP003820.1_Cryptococcus_neoformans_var._grubii_H99_1_to_2291499_reverse_complement_,2291499,1008,48.22905,439.88654,121.44447,52.99785,1734.71918
1_FN543502_1_Citrobacter_rodentium_ICC168__complete_genome_BAC,5346659,2240,54.71536,418.95314,269.87659,50.47577,1652.16706
CP027654.1_Torulaspora_delbrueckii_strain_COFT1_chromosome_8__complete_sequence,863982,351,42.28769,406.25940,42.28870,48.94626,1602.10854
CP003823.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1084805_reverse_complement_,1084805,382,48.22771,352.13864,46.02360,42.42568,1388.68005
1_CP000783_1_Cronobacter_sakazakii_ATCC_BAA_894__complete_genome_BAC,4368373,1510,56.76348,345.66669,181.92574,41.64612,1363.15751
1_CP002439_1_Staphylococcus_pseudintermedius_HKU10_03__complete_genome_BAC,2617381,880,37.52765,336.21408,106.02295,40.50728,1325.88056
1_AP009484_1_Macrococcus_caseolyticus_JCSC5402_DNA__complete_genome_BAC,2102324,629,36.86687,299.19327,75.78231,36.04694,1179.88677
CP003829.1_Cryptococcus_neoformans_var._grubii_H99_1_to_1059964_reverse_complement_,1059964,316,48.41855,298.12446,38.07188,35.91811,1175.67184
CP003833.2_Cryptococcus_neoformans_var._grubii_H99_1_to_942867_reverse_complement_,942867,280,48.07594,296.96565,33.73457,35.77872,1171.10200
1_CP019597_1_Staphylococcus_cohnii_strain_SNUDS_2_chromosome__complete_genome_BAC,2585879,714,32.72250,276.11490,86.02316,33.26652,1088.87582
1_CP022114_1_Kluyvera_georgiana_strain_YDC799_chromosome__complete_genome_BAC,5006140,1349,55.00419,269.46909,162.52836,32.46581,1062.66767
1_CP001918_1_Enterobacter_cloacae_subsp__cloacae_ATCC_13047__complete_genome_BAC,5314581,1365,54.78075,256.84062,164.45605,30.94433,1012.86651
1_CP019986_1_Citrobacter_werkmanii_strain_BF_6_chromosome__complete_genome_BAC,4929789,1170,52.02605,237.33262,140.96233,28.59400,935.93557
1_CP000822_1_Citrobacter_koseri_ATCC_BAA_895__complete_genome_BAC,4720462,1009,53.82155,213.75035,121.56495,25.75277,842.93746
1_CP025001_1_Bacillus_siamensis_strain_SCSIO_05746_chromosome__complete_genome_BAC,4268316,897,45.97541,210.15294,108.07112,25.31939,828.75084
1_CP009470_1_Staphylococcus_schleiferi_strain_1360_13__complete_genome_BAC,2435632,491,35.94133,201.59055,59.15599,24.28774,794.98455
1_CP012554_1_Citrobacter_portucalensis_strain_P10159__complete_genome_BAC,5080321,980,51.66630,192.90123,118.07101,23.24086,760.71769
1_CP013114_1_Staphylococcus_equorum_strain_KS1039__complete_genome_BAC,2822193,531,33.06998,188.15175,63.97521,22.66862,741.98783
1_HG916765_1_Castellaniella_defragrans_65Phen_complete_genome_BAC,3952818,690,68.96798,174.55892,83.13163,21.03099,688.38367
AE016820.4_Ashbya_gossypii_ATCC_10895_chromosome_VII__complete_sequence,1800949,306,51.19390,169.91033,36.86707,20.47092,670.05165
1_CP011013_1_Lactobacillus_mucosae_LM1__complete_genome_BAC,2326299,389,46.45541,167.21833,46.86696,20.14659,659.43560
1_CP017962_1_Virgibacillus_halodenitrificans_strain_PDB_F2_chromosome__complete_genome_BAC,3869935,647,37.47986,167.18605,77.95096,20.14271,659.30832
1_CP006731_1_Cronobacter_malonaticus_strain_CMCC45402_chromosome__complete_genome_BAC,4377544,725,56.88370,165.61813,87.34845,19.95376,653.12513
1_HG916826_1_Pseudomonas_pseudoalcaligenes_CECT_5344_complete_genome_BAC,4686340,765,62.35241,163.24040,92.16768,19.66731,643.74838
1_CP003938_1_Enterobacteriaceae_bacterium_strain_FGI_57__complete_genome_BAC,4762179,773,54.01016,162.32062,93.13152,19.55650,640.12118
1_CP014912_1_Lactobacillus_paracollinoides_strain_TMW_1_1979_chromosome__complete_genome_BAC,3235324,524,47.15801,161.96234,63.13185,19.51331,638.70829
1_CP000411_1_Oenococcus_oeni_PSU_1__complete_genome_BAC,1780517,287,37.87716,161.18887,34.57794,19.42017,635.65805
1_CP003583_1_Enterococcus_faecium_DO__complete_genome_BAC,2698137,417,38.13944,154.55091,50.24042,18.62042,609.48088
1_CR936503_1_Lactobacillus_sakei_strain_23K_complete_genome_BAC,1884661,279,41.25272,148.03731,33.61409,17.83562,583.79410
1_LN906634_1_Lactobacillus_reuteri__complete_genome__strain_ATCC_53608_BAC,1943635,285,38.95241,146.63209,34.33698,17.66638,578.25253
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC,2253412,322,31.35331,142.89455,38.79476,17.21601,563.51329
1_CP009365_1_Pseudomonas_soli_strain_SJ10__complete_genome_BAC,6247860,886,63.40077,141.80856,106.74583,17.08519,559.23062
1_CP022695_1_Citrobacter_farmeri_strain_AUSMDU00008141_chromosome__complete_genome_BAC,5130228,705,53.35829,137.42074,84.93884,16.55655,541.92700
1_CP020377_1_Staphylococcus_sciuri_strain_SNUDS_18_chromosome__complete_genome_BAC,2673451,361,32.52185,135.03151,43.49350,16.26868,532.50494
1_CP011602_1_Phytobacter_ursingii_strain_CAV1151_chromosome__complete_genome_BAC,5529134,695,52.74046,125.69789,83.73403,15.14416,495.69725
1_CP012873_1_Weissella_cibaria_strain_CH2__complete_genome_BAC,2466961,302,45.08129,122.41787,36.38515,14.74898,482.76230
1_CP001339_1_Thioalkalivibrio_sulfidiphilus_HL_EbGr7_chromosome__complete_genome_BAC,3464554,424,65.07486,122.38242,51.08378,14.74470,482.62246
1_CP003191_1_Tannerella_forsythia_92A2__complete_genome_BAC,3405521,409,46.95995,120.09913,49.27657,14.46962,473.61820
1_CP000517_1_Lactobacillus_helveticus_DPC_4571__complete_genome_BAC,2080931,241,37.06815,115.81360,29.03583,13.95329,456.71795
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC,6062703,677,61.87626,111.66642,81.56538,13.45364,440.36328
1_AP007281_1_Lactobacillus_reuteri_JCM_1112_DNA__complete_genome_BAC,2039414,224,38.86985,109.83569,26.98766,13.23305,433.14368
1_CP004143_1_Pseudomonas_denitrificans_ATCC_13867__complete_genome_BAC,5696307,602,65.25378,105.68245,72.52933,12.73270,416.76514
1_CP018176_1_Lactobacillus_hordei_strain_TMW_1_1822_chromosome__complete_genome_BAC,2422912,249,34.99700,102.76898,29.99967,12.38167,405.27571
1_CP020448_2_Citrobacter_braakii_strain_FDAARGOS_253_chromosome__complete_genome_BAC,5244290,537,52.01808,102.39708,64.69809,12.33687,403.80909
1_CP018898_1_Bordetella_trematum_isolate_E202_chromosome__complete_genome_BAC,4321461,440,65.70331,101.81744,53.01147,12.26703,401.52324
1_AP008934_1_Staphylococcus_saprophyticus_subsp__saprophyticus_ATCC_15305_DNA__complete_genome_BAC,2516575,255,33.23619,101.32799,30.72256,12.20809,399.59307
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC,2499279,246,32.09041,98.42835,29.63823,11.85872,388.15814
1_CP014332_1_Weissella_jogaejeotgali_strain_FOL01_chromosome__complete_genome_BAC,2114163,208,38.84090,98.38423,25.05997,11.85338,387.98416
1_CP005965_1_Bacillus_paralicheniformis_ATCC_9945a__complete_genome_BAC,4376305,418,45.90913,95.51426,50.36090,11.50764,376.66625
CP019491.1_Zygosaccharomyces_parabailii_strain_ATCC_60483_chromosome_2__complete_sequence,2005801,191,42.62920,95.22385,23.01180,11.47263,375.52102
1_AE009952_1_Yersinia_pestis_KIM10+__complete_genome_BAC,4600755,428,47.63327,93.02811,51.56571,11.20810,366.86197
1_CP003668_1_Staphylococcus_warneri_SG1__complete_genome_BAC,2486042,229,32.72778,92.11437,27.59006,11.09799,363.25858
1_CP004014_1_Staphylococcus_pasteuri_SP1__complete_genome_BAC,2559946,234,32.70244,91.40804,28.19247,11.01292,360.47312
1_CP007208_1_Staphylococcus_xylosus_strain_HKUOPL8__complete_genome_BAC,2836901,258,32.76366,90.94434,31.08400,10.95703,358.64451
1_CP017713_1_Lactobacillus_coryniformis_subsp__coryniformis_KCTC_3167___DSM_20001_chromosome__complete_genome_BAC,2951508,265,43.11041,89.78455,31.92736,10.81731,354.07081
1_CP014872_1_Lactobacillus_lindneri_strain_TMW_1_1993_chromosome__complete_genome_BAC,1389742,122,34.23792,87.78620,14.69864,10.57652,346.19021
1_CP013614_1_Enterococcus_silesiacus_strain_LMG_23085__complete_genome_BAC,3928141,338,36.39667,86.04581,40.72245,10.36685,339.32687
1_CP016440_1_Bordetella_pseudohinzii_strain_HI4681_chromosome__complete_genome_BAC,4490371,378,66.65642,84.18015,45.54167,10.14208,331.96950
1_CP020773_1_Staphylococcus_lutrae_strain_ATCC_700373_chromosome__complete_genome_BAC,2533115,207,37.72368,81.71741,24.93949,9.84539,322.25754
1_CP009623_1_Staphylococcus_agnetis_strain_908__complete_genome_BAC,2474434,200,35.76252,80.82670,24.09612,9.73804,318.74496
1_CP012165_1_Enterobacter_hormaechei_subsp__xiangfangensis_strain_34978_chromosome__complete_genome_BAC,4930963,396,55.11823,80.30891,47.71033,9.67566,316.70303
1_FM177140_1_Lactobacillus_casei_BL23_complete_genome__strain_BL23_BAC,3079196,245,46.32726,79.56612,29.51775,9.58619,313.77381
1_CP014016_2_Staphylococcus_simulans_strain_FDAARGOS_124__complete_genome_BAC,2647556,209,35.94547,78.94061,25.18045,9.51083,311.30707
1_CP012366_1_Enterococcus_durans_strain_KLDS6_0933__complete_genome_BAC,2867028,219,37.98341,76.38567,26.38526,9.20300,301.23150
1_CP002764_1_Lactobacillus_kefiranofaciens_ZW3__complete_genome_BAC,2113023,161,37.68690,76.19426,19.39738,9.17992,300.47668
1_CP009048_1_Pseudomonas_alkylphenolica_strain_KL28_chromosome__complete_genome_BAC,5764622,438,60.62865,75.98072,52.77051,9.15421,299.63458
1_AE017333_1_Bacillus_licheniformis_DSM_13___ATCC_14580__complete_genome_BAC,4222645,318,46.18074,75.30834,38.31284,9.07319,296.98299
1_CP014608_1_Obesumbacterium_proteus_strain_DSM_2777__complete_genome_BAC,5011796,373,49.07800,74.42436,44.93927,8.96670,293.49696
1_CP018197_1_Bacillus_safensis_strain_KCTC_12796BP_chromosome__complete_genome_BAC,3935874,283,41.43458,71.90278,34.09602,8.66289,283.55297
1_CP007457_1_Bifidobacterium_pseudolongum_PV8_2__complete_genome_BAC,2032698,145,63.26509,71.33369,17.46969,8.59434,281.30874
1_CP012890_1_Lactobacillus_gallinarum_strain_HFD4__complete_genome_BAC,2317164,162,36.81042,69.91317,19.51786,8.42317,275.70681
1_AP013036_1_Enterococcus_mundtii_QU_25_DNA__complete_genome_BAC,3022186,207,38.59807,68.49338,24.93949,8.25214,270.10778
1_CP023074_1_Enterococcus_thailandicus_strain_a523_chromosome__complete_genome_BAC,2646250,180,36.83936,68.02078,21.68651,8.19519,268.24408
1_CP011132_1_Citrobacter_amalonaticus_Y19__complete_genome_BAC,5584358,370,53.41333,66.25647,44.57783,7.98263,261.28641
1_CP021874_1_Enterococcus_wangshanyuanii_strain_MN05__complete_genome_BAC,3842361,254,37.47498,66.10521,30.60208,7.96440,260.68988
1_CP001129_1_Streptococcus_equi_subsp__zooepidemicus_MGCS10565__complete_genome_BAC,2024171,130,41.83009,64.22385,15.66248,7.73773,253.27066
1_CP043318_1_Enterobacter_chengduensis_strain_WCHECl_C4___WCHECh050004_chromosome__complete_genome_BAC,5111427,326,55.81184,63.77863,39.27668,7.68410,251.51488
1_CP023481_1_Bacillus_glycinifermentans_strain_KBN06P03352_chromosome__complete_genome_BAC,4659467,295,46.06332,63.31192,35.54178,7.62787,249.67439
1_CP017786_1_Bacillus_xiamenensis_strain_VV3_chromosome__complete_genome_BAC,3637729,227,41.51899,62.40155,27.34910,7.51818,246.08430
1_CP018044_1_Bifidobacterium_choerinum_strain_FMB_1__complete_genome_BAC,2246282,136,65.58983,60.54454,16.38536,7.29444,238.76108
1_CP011451_1_Nitrosomonas_communis_strain_Nm2__complete_genome_BAC,4067838,237,44.71212,58.26188,28.55391,7.01943,229.75924
1_CP000813_4_Bacillus_pumilus_SAFR_032_chromosome__complete_genome_BAC,3704641,215,41.27567,58.03533,25.90333,6.99213,228.86583
1_CP017183_1_Enterobacter_xiangfangensis_strain_LMG27195__complete_genome_BAC,4661849,268,55.27380,57.48791,32.28881,6.92618,226.70704
1_CP003153_1_Dechlorosoma_suillum_PS__complete_genome_BAC,3806980,218,65.37831,57.26324,26.26478,6.89911,225.82104
1_CP019609_1_Vagococcus_penaei_strain_CD276__complete_genome_BAC,2365304,133,35.05174,56.22965,16.02392,6.77457,221.74504
1_AP013068_1_Pseudomonas_resinovorans_NBRC_106553_DNA__complete_geonome_BAC,6285863,348,65.57082,55.36235,41.92726,6.67009,218.32479
1_CP018180_1_Lactobacillus_nagelii_strain_TMW_1_1827_chromosome__complete_genome_BAC,2406166,130,36.66664,54.02777,15.66248,6.50931,213.06178
1_CP007601_1_Staphylococcus_capitis_subsp__capitis_strain_AYP1020__complete_genome_BAC,2443604,132,32.99337,54.01866,15.90344,6.50819,213.02586
1_CP009450_1_Pluralibacter_gergoviae_strain_FB2_chromosome__complete_genome_BAC,5489680,295,59.10452,53.73719,35.54178,6.47429,211.91588
1_CP022823_1_Klebsiella_quasivariicola_strain_KPN1705_chromosome__complete_genome_BAC,5540188,297,56.93057,53.60827,35.78274,6.45876,211.40746
1_CP012257_1_Cronobacter_universalis_NCTC_9529__complete_genome_BAC,4307096,226,57.84732,52.47150,27.22862,6.32181,206.92454
1_AP009332_1_Lactococcus_garvieae_ATCC_49156_DNA__complete_genome_BAC,1950135,102,38.81935,52.30394,12.28902,6.30163,206.26374
1_HE999757_2_Carnobacterium_maltaromaticum_LMA28_complete_genome_BAC,3650416,190,34.51177,52.04881,22.89132,6.27088,205.25761
1_CP016598_1_Leuconostoc_lactis_strain_WiKim40_chromosome__complete_genome_BAC,1737502,90,43.31966,51.79856,10.84326,6.24072,204.27076
1_CP018867_1_Lactobacillus_alimentarius_DSM_20249_chromosome__complete_genome_BAC,2333865,120,35.36451,51.41697,14.45767,6.19474,202.76592
1_CP016162_1_Pseudomonas_alcaliphila_JAB1_chromosome__complete_genome_BAC,5340293,273,62.54770,51.12082,32.89121,6.15907,201.59804
1_CP012269_1_Pediococcus_damnosus_strain_TMW_2_1532_chromosome__complete_genome_BAC,2073735,106,38.24288,51.11538,12.77095,6.15843,201.57658
1_AP012282_1_Melissococcus_plutonius_DAT561_DNA__complete_genome_BAC,1846178,94,31.44144,50.91595,11.32518,6.13439,200.79011
1_CP011971_1_Steroidobacter_denitrificans_strain_DSM_18526__complete_genome_BAC,3467246,176,61.66475,50.76069,21.20459,6.11569,200.17785
1_AM902716_1_Bordetella_petrii_strain_DSM_12804__complete_genome_BAC,5287950,267,65.49398,50.49216,32.16833,6.08333,199.11888
1_AP006725_1_Klebsiella_pneumoniae_subsp__pneumoniae_NTUH_K2044_DNA__complete_genome_BAC,5248520,261,57.67334,49.72830,31.44544,5.99130,196.10658
1_CP021920_1_Bacillus_sonorensis_strain_SRCM101395_chromosome__complete_genome_BAC,4832293,240,45.19469,49.66589,28.91535,5.98378,195.86046
1_CP017482_1_Pectobacterium_polaris_strain_NIBIO1392_chromosome__complete_genome_BAC,5008416,235,51.98083,46.92099,28.31295,5.65308,185.03574
1_AP012046_1_Tetragenococcus_halophilus_NBRC_12172_DNA__complete_genome_BAC,2562720,119,36.03267,46.43504,14.33719,5.59452,183.11938
1_CP001560_1_Shimwellia_blattae_DSM_4481___NBRC_105725__complete_genome_BAC,4158725,193,56.50522,46.40851,23.25276,5.59132,183.01477
1_CP010415_1_Azotobacter_chroococcum_NCIMB_8003__complete_genome_BAC,4591803,211,66.28947,45.95148,25.42141,5.53626,181.21244
1_AE016825_1_Chromobacterium_violaceum_ATCC_12472__complete_genome_BAC,4751080,217,64.84668,45.67383,26.14429,5.50281,180.11750
1_CP019445_1_Kosakonia_cowanii_strain_888_76_chromosome__complete_genome_BAC,4646998,212,56.28121,45.62083,25.54189,5.49643,179.90851
1_CP023501_1_Weissella_paramesenteroides_strain_FDAARGOS_414_chromosome__complete_genome_BAC,1947910,88,38.08473,45.17663,10.60229,5.44291,178.15676
1_CP000412_1_Lactobacillus_delbrueckii_subsp__bulgaricus_ATCC_BAA_365__complete_genome_BAC,1856951,83,49.67692,44.69695,9.99989,5.38512,176.26512
1_CP007215_3_Kosakonia_sacchari_SP1_chromosome__complete_genome_BAC,4902027,219,53.73717,44.67537,26.38526,5.38252,176.18002
1_CP021059_1_Macrococcus_canis_strain_KM45013_chromosome__complete_genome_BAC,2363414,105,37.08534,44.42733,12.65047,5.35263,175.20187
1_AP014680_1_Lactobacillus_hokkaidonensis_DNA__complete_genome_BAC,2277985,100,38.11205,43.89835,12.04806,5.28891,173.11580
1_AP009385_1_Burkholderia_multivorans_ATCC_17616_DNA__complete_genome__chromosome_1_BAC,3448421,149,66.89722,43.20819,17.95161,5.20575,170.39413
1_CP003504_1_Enterococcus_hirae_ATCC_9790__complete_genome_BAC,2827741,121,36.92730,42.79036,14.57816,5.15541,168.74636
1_CP008788_1_Klebsiella_oxytoca_KONIH1__complete_genome_BAC,6152190,261,55.90898,42.42392,31.44544,5.11126,167.30129
1_CP015839_1_Marinobacterium_aestuarii_strain_ST58_10__complete_genome_BAC,5191608,219,58.79100,42.18345,26.38526,5.08229,166.35297
1_CP001157_1_Azotobacter_vinelandii_DJ__complete_genome_BAC,5365318,225,65.69439,41.93599,27.10814,5.05248,165.37711
1_CP004345_1_Morganella_morganii_subsp__morganii_KT__complete_genome_BAC,3799539,158,51.13463,41.58398,19.03594,5.01007,163.98895
1_CP017996_1_Lactobacillus_crustorum_strain_MN047_chromosome__complete_genome_BAC,2261471,94,35.01025,41.56588,11.32518,5.00788,163.91758
1_CP014067_2_Enterococcus_gallinarum_strain_FDAARGOS_163_chromosome__complete_genome_BAC,3733350,153,42.38992,40.98196,18.43354,4.93753,161.61484
1_CP002272_1_Enterobacter_lignolyticus_SCF1__complete_genome_BAC,4814049,196,57.01379,40.71416,23.61420,4.90527,160.55875
1_CP012252_1_Klebsiella_quasipneumoniae_strain_HKUOPLA__complete_genome_BAC,5090052,207,58.03578,40.66758,24.93949,4.89966,160.37505
1_CP017267_1_Vagococcus_teuberi_strain_DSM_21459_chromosome__complete_genome_BAC,2169060,87,34.12075,40.10954,10.48181,4.83242,158.17440
1_CP000896_1_Acholeplasma_laidlawii_PG_8A__complete_genome_BAC,1496992,59,31.92446,39.41242,7.10836,4.74843,155.42527
1_CP011574_1_Klebsiella_aerogenes_strain_CAV1320_chromosome__complete_genome_BAC,5124987,198,54.99618,38.63422,23.85516,4.65468,152.35639
1_CP018758_1_Pseudomonas_psychrotolerans_strain_PRS08_11306__complete_genome_BAC,5271920,199,64.80454,37.74716,23.97564,4.54780,148.85820
1_FN543093_2_Cronobacter_turicensis_z3032_complete_genome_BAC,4384463,165,57.41434,37.63291,19.87930,4.53404,148.40767
