species,chr_length,read_count,gc_ref,reads_per_million_ref_bases,reads_per_million_reads_in_experiment,RPMM,bacteria_per_human_cell
CP011557.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XI__complete_sequence,666444,4779,38.05829,7170.93812,486.27611,729.65731,179749.28972
BK006944.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XI__complete_sequence,666816,4712,38.06317,7066.37473,479.45868,719.02706,177128.26665
CP003828.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1186808__reverse_complement_,1186808,8128,48.24411,6848.61098,827.04587,696.86590,171669.72288
CP003832.1____Cryptococcus_neoformans_var._grubii_H99___1_to_756744__reverse_complement_,756744,5166,48.28428,6826.65116,525.65440,694.62653,171119.27018
CP003827.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1398693__reverse_complement_,1398693,8889,48.29080,6355.23240,904.47966,646.66038,159302.51945
CP003824.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1814975__reverse_complement_,1814975,11308,48.30161,6230.37168,1150.61942,633.95885,156172.71637
CP003825.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1422463__reverse_complement_,1422463,8828,48.29710,6206.14991,898.27275,631.49115,155565.56472
CP003830.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1561994__reverse_complement_,1561994,9592,48.00605,6140.88438,976.01180,624.84976,153929.59583
CP003820.1____Cryptococcus_neoformans_var._grubii_H99___1_to_2291499__reverse_complement_,2291499,13608,48.22905,5938.46825,1384.65061,604.25536,148855.76094
CP011555.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IX__complete_sequence,434899,2552,38.93097,5868.01564,259.67287,597.08756,147089.77056
BK006943.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_X__complete_sequence,745751,4371,38.36660,5861.21354,444.76101,596.39380,146919.26688
CP003826.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1399503__reverse_complement_,1399503,8060,48.15551,5759.19971,820.12668,586.01262,144362.15190
BK006936.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_II__complete_sequence,813184,4631,38.33578,5694.92609,471.21671,579.47113,142751.04640
CP011553.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VII__complete_sequence,1084888,6126,38.07599,5646.65542,623.33698,574.56333,141541.07655
BK006941.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VII__complete_sequence,1090940,6143,38.05647,5630.92379,625.06678,572.96141,141146.74189
CP011551.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_V__complete_sequence,552153,3085,38.48451,5587.24984,313.90705,568.51479,140051.99513
CP011549.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_III__complete_sequence,313668,1745,38.57721,5563.17149,177.55844,566.07140,139448.43849
BK006948.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XV__complete_sequence,1091291,6062,38.14283,5554.89375,616.82481,565.22461,139240.94580
BK006942.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_IX__complete_sequence,439888,2435,38.89898,5535.47478,247.76780,563.25192,138754.18293
CP011548.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_II__complete_sequence,808595,4474,38.32570,5533.02003,455.24154,563.00312,138692.65147
BK006949.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XVI__complete_sequence,948066,5205,38.06195,5490.10094,529.62275,558.63463,137616.82620
CP003833.2____Cryptococcus_neoformans_var._grubii_H99___1_to_942867__reverse_complement_,942867,5171,48.07594,5484.31915,526.16316,558.04607,137471.89782
BK006939.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_V__complete_sequence,576874,3151,38.50064,5462.23586,320.62273,555.79368,136918.35010
CP011562.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XVI__complete_sequence,948057,5155,38.06041,5437.41957,524.53512,553.27365,136296.29623
CP011560.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIV__complete_sequence,784302,4214,38.63006,5372.94403,428.78584,546.71040,134680.12922
CP011559.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XIII__complete_sequence,922588,4948,38.20461,5363.16240,503.47231,545.71764,134434.93952
BK006938.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_IV__complete_sequence,1531933,8188,37.90017,5344.89174,833.15103,543.85621,133976.96055
CP011550.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_IV__complete_sequence,1531682,8164,37.89844,5330.09506,830.70896,542.35072,133606.06173
CP011554.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VIII__complete_sequence,562640,2984,38.48676,5303.56889,303.63003,539.65194,132941.14732
BK006947.3_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XIV__complete_sequence,784333,4157,38.63121,5300.06502,422.98593,539.29372,132853.31817
CP011556.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_X__complete_sequence,745071,3948,38.36338,5298.83098,401.71962,539.16970,132822.38525
BK006934.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VIII__complete_sequence,562643,2980,38.48869,5296.45955,303.22302,538.92660,132762.94202
CP011561.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_XV__complete_sequence,1089058,5753,38.14345,5282.53723,585.38323,537.51335,132413.96034
BK006946.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_XIII__complete_sequence,924431,4861,38.19666,5258.37543,494.61983,535.05308,131808.31199
CP003823.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1084805__reverse_complement_,1084805,5652,48.22771,5210.17699,575.10620,530.14720,130600.15272
CP011547.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_I__complete_sequence,224154,1153,39.30431,5143.87687,117.32085,523.39384,128938.25021
CP011552.1_Saccharomyces_cerevisiae_strain_ySR127_chromosome_VI__complete_sequence,270121,1388,38.71538,5138.45698,141.23273,522.85021,128802.39342
1_FR877557_1_Salmonella_bongori_NCTC_12419__culture_collection_SGSC_SARC11__complete_genome_BAC,4460105,22538,51.32243,5053.23860,2293.30213,514.18116,126666.27902
CP003829.1____Cryptococcus_neoformans_var._grubii_H99___1_to_1059964__reverse_complement_,1059964,5311,48.41855,5010.56644,540.40854,509.83675,125596.64344
BK006940.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_VI__complete_sequence,270161,1307,38.72112,4837.87385,132.99077,492.26574,121267.86960
1_CP025979_1_Escherichia_marmotae_strain_HT073016_chromosome__complete_genome_BAC,4671322,22227,50.64028,4758.18398,2261.65704,484.15786,119270.33492
BK006937.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_III__complete_sequence,316620,1486,38.52659,4693.32323,151.20450,477.55860,117644.51211
1_CP007025_1_Escherichia_albertii_KF1__complete_genome_BAC,4701875,21827,49.68321,4642.18568,2220.95597,472.35540,116362.68012
BK006935.2_TPA_inf:_Saccharomyces_cerevisiae_S288C_chromosome_I__complete_sequence,230218,1065,39.26500,4626.00990,108.36661,470.71407,115957.21238
1_CP010359_1_Pseudomonas_plecoglossicida_strain_NyZ12__complete_genome_BAC,6233254,14500,62.40273,2326.23431,1475.41401,236.70045,58310.21794
1_CP014158_1_Pseudomonas_citronellolis_strain_P3B5__complete_genome_BAC,6951444,15147,67.12874,2178.97299,1541.24800,221.71625,54618.91328
1_AL009126_3_Bacillus_subtilis_subsp__subtilis_str__168_complete_genome_BAC,4215606,7832,43.50129,1857.85687,796.92707,189.04212,46569.70221
1_AM263198_1_Listeria_welshimeri_serovar_6b_str__SLCC5334_complete_genome_BAC,2814130,4463,36.34450,1585.92531,454.12226,161.37214,39753.36891
1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC,2291220,3557,46.21231,1552.44804,361.93432,157.96575,38914.21569
1_CP000783_1_Cronobacter_sakazakii_ATCC_BAA_894__complete_genome_BAC,4368373,6313,56.76348,1445.16147,642.36473,147.04896,36224.93222
1_CP007557_1_Citrobacter_freundii_CFNIH1__complete_genome_BAC,5099034,6933,52.23701,1359.67037,705.45140,138.35001,34081.98188
1_FN557490_1_Listeria_seeligeri_serovar_1_2b_str__SLCC3954_complete_genome_BAC,2797636,3738,37.37790,1336.12616,380.35156,135.95461,33491.81444
1_AP012054_1_Streptococcus_pasteurianus_ATCC_43144_DNA__complete_genome_BAC,2100077,2580,37.37478,1228.52463,262.52194,125.00587,30794.63601
1_FN597254_1_Streptococcus_gallolyticus_UCN34_complete_genome_BAC,2350911,2848,37.63248,1211.44578,289.79166,123.26779,30366.53154
1_FN543502_1_Citrobacter_rodentium_ICC168__complete_genome_BAC,5346659,6417,54.71536,1200.18853,652.94701,122.12243,30084.35326
1_AP006716_1_Staphylococcus_haemolyticus_JCSC1435_DNA__complete_genome_BAC,2685015,2858,32.76654,1064.42410,290.80919,108.30820,26681.23375
1_AP018335_1_Ureibacillus_thermosphaericus_DNA__complete_geonome__strain__A1_BAC,3488104,3390,36.33444,971.87581,344.94162,98.89088,24361.38522
1_AE015451_2_Pseudomonas_putida_KT2440_complete_genome_BAC,6181873,5776,61.52718,934.34511,587.72354,95.07209,23420.62739
1_CP001837_1_Staphylococcus_lugdunensis_HKU09_01__complete_genome_BAC,2658366,2357,33.86444,886.63354,239.83109,90.21747,22224.67216
1_CP000822_1_Citrobacter_koseri_ATCC_BAA_895__complete_genome_BAC,4720462,3959,53.82155,838.68945,402.83890,85.33887,21022.88855
1_CP002461_1_Lactobacillus_sanfranciscensis_TMW_1_1304__complete_genome_BAC,1298316,1081,34.69328,832.61446,109.99466,84.72099,20870.61058
1_FR687253_1_Listeria_ivanovii_subsp__ivanovii_PAM_55__complete_genome_BAC,2928879,2388,37.12614,815.32873,242.98542,82.96192,20437.32034
1_CP022114_1_Kluyvera_georgiana_strain_YDC799_chromosome__complete_genome_BAC,5006140,3869,55.00419,772.85094,393.68116,78.63967,19372.55699
1_CP009470_1_Staphylococcus_schleiferi_strain_1360_13__complete_genome_BAC,2435632,1676,35.94133,688.11765,170.53751,70.01777,17248.60226
1_AP009484_1_Macrococcus_caseolyticus_JCSC5402_DNA__complete_genome_BAC,2102324,1409,36.86687,670.21196,143.36954,68.19576,16799.77168
KN848914___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_120334___SO_supercontig,120334,77,47.51089,639.90692,7.83496,65.11022,16040.13491
KN848907___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_466906___SO_supercontig,466906,298,47.98800,638.23863,30.32230,64.94299,15998.31696
KN848894___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_817211___SO_supercontig,817211,508,47.93644,621.62724,51.69037,63.25213,15581.92997
KN848908___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_341509___SO_supercontig,341509,197,47.68562,576.84987,20.04528,58.69611,14459.52442
KN848905___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_521919___SO_supercontig,521919,297,47.98854,569.05273,30.22055,57.90275,14264.07843
KN848893___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_916003___SO_supercontig,916003,521,47.96184,568.77729,53.01315,57.87442,14257.17426
KN848889___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_1959555___SO_supercontig,1959555,1109,47.95633,565.94338,112.84373,57.58640,14186.13827
KN848900___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_692944___SO_supercontig,692944,389,47.77548,561.37617,39.58180,57.12121,14071.65496
1_CP019986_1_Citrobacter_werkmanii_strain_BF_6_chromosome__complete_genome_BAC,4929789,2582,52.02605,523.75456,262.72545,53.29345,13128.61844
1_CP009365_1_Pseudomonas_soli_strain_SJ10__complete_genome_BAC,6247860,3187,63.40077,510.09466,324.28582,51.90350,12786.21439
1_CP002439_1_Staphylococcus_pseudintermedius_HKU10_03__complete_genome_BAC,2617381,1324,37.52765,505.84936,134.72056,51.47151,12679.80030
1_CP001918_1_Enterobacter_cloacae_subsp__cloacae_ATCC_13047__complete_genome_BAC,5314581,2492,54.78075,468.89877,253.56770,47.71170,11753.58351
KN848915___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_101121___SO_supercontig,101121,47,48.40408,464.79430,4.78238,47.29369,11650.69961
KN848913___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_146503___SO_supercontig,146503,67,47.92023,457.33788,6.81743,46.53456,11463.79434
KN848909___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_294605___SO_supercontig,294605,131,47.73067,444.67074,13.32960,45.24574,11146.27519
1_CP018898_1_Bordetella_trematum_isolate_E202_chromosome__complete_genome_BAC,4321461,1921,65.70331,444.52569,195.46692,45.23167,11142.63939
KN848890___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_1475841___SO_supercontig,1475841,639,48.12008,432.97376,65.01997,44.05620,10853.07463
KN848897___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_748593___SO_supercontig,748593,320,48.16502,427.47031,32.56086,43.49611,10715.12311
KN848891___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_1275660___SO_supercontig,1275660,545,48.06364,427.22983,55.45522,43.47178,10709.09503
1_CP019597_1_Staphylococcus_cohnii_strain_SNUDS_2_chromosome__complete_genome_BAC,2585879,1067,32.72250,412.62549,108.57012,41.98577,10343.01752
1_CP022695_1_Citrobacter_farmeri_strain_AUSMDU00008141_chromosome__complete_genome_BAC,5130228,2038,53.35829,397.25314,207.37198,40.42159,9957.68885
1_CP006704_1_Comamonas_testosteroni_TK102__complete_genome_BAC,6062703,2374,61.87626,391.57471,241.56089,39.84376,9815.35121
1_CP020377_1_Staphylococcus_sciuri_strain_SNUDS_18_chromosome__complete_genome_BAC,2673451,1035,32.52185,387.14021,105.31403,39.39254,9704.19448
KN848895___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_809651___SO_supercontig,809651,311,47.98263,384.11659,31.64509,39.08484,9628.40339
1_CP017581_1_Pantoea_stewartii_subsp__stewartii_DC283__complete_genome_BAC,4528215,1681,54.18789,371.22755,171.04627,37.77345,9305.32194
1_CP001339_1_Thioalkalivibrio_sulfidiphilus_HL_EbGr7_chromosome__complete_genome_BAC,3464554,1278,65.07486,368.87908,130.03994,37.53440,9246.45432
1_CP016440_1_Bordetella_pseudohinzii_strain_HI4681_chromosome__complete_genome_BAC,4490371,1639,66.65642,365.00333,166.77266,37.14007,9149.30350
1_CP002764_1_Lactobacillus_kefiranofaciens_ZW3__complete_genome_BAC,2113023,767,37.68690,362.98757,78.04431,36.93491,9098.77581
1_CP043318_1_Enterobacter_chengduensis_strain_WCHECl_C4___WCHECh050004_chromosome__complete_genome_BAC,5111427,1847,55.81184,361.34702,187.93722,36.76805,9057.65315
1_CP000413_1_Lactobacillus_gasseri_ATCC_33323__complete_genome_BAC,1894360,682,35.25417,360.01605,69.39533,36.63259,9024.29051
1_HG916765_1_Castellaniella_defragrans_65Phen_complete_genome_BAC,3952818,1369,68.96798,346.33502,139.29943,35.24054,8681.35704
1_CP014016_2_Staphylococcus_simulans_strain_FDAARGOS_124__complete_genome_BAC,2647556,913,35.94547,344.84582,92.90021,35.08904,8644.02819
1_CP003938_1_Enterobacteriaceae_bacterium_strain_FGI_57__complete_genome_BAC,4762179,1633,54.01016,342.91018,166.16214,34.89204,8595.50874
KN848904___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_550127___SO_supercontig,550127,186,47.90558,338.10190,18.92600,34.40297,8474.98276
1_CP004143_1_Pseudomonas_denitrificans_ATCC_13867__complete_genome_BAC,5696307,1923,65.25378,337.58696,195.67042,34.35040,8462.07512
1_CP006731_1_Cronobacter_malonaticus_strain_CMCC45402_chromosome__complete_genome_BAC,4377544,1474,56.88370,336.71880,149.98347,34.26201,8440.31332
KN848910___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_241447___SO_supercontig,241447,81,48.33349,335.47318,8.24197,34.13573,8409.09032
KN848911___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_217341___SO_supercontig,217341,71,47.79376,326.67710,7.22444,33.24017,8188.60447
1_CP009623_1_Staphylococcus_agnetis_strain_908__complete_genome_BAC,2474434,794,35.76252,320.88198,80.79164,32.65055,8043.34206
KN848903___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_577427___SO_supercontig,577427,185,48.22869,320.38515,18.82425,32.60021,8030.88844
KN848892___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_1064383___SO_supercontig,1064383,336,47.98149,315.67673,34.18890,32.12087,7912.86543
1_CP013114_1_Staphylococcus_equorum_strain_KS1039__complete_genome_BAC,2822193,887,33.06998,314.29493,90.25464,31.98032,7878.22862
KN848898___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_716393___SO_supercontig,716393,222,47.92908,309.88707,22.58910,31.53172,7767.73977
1_CP008747_1_Staphylococcus_hyicus_strain_ATCC_11249__complete_genome_BAC,2472129,748,35.57297,302.57308,76.11101,30.78763,7584.40474
1_CP012554_1_Citrobacter_portucalensis_strain_P10159__complete_genome_BAC,5080321,1532,51.66630,301.55581,155.88512,30.68411,7558.90531
CP027654.1_Torulaspora_delbrueckii_strain_COFT1_chromosome_8__complete_sequence,863982,259,42.28338,299.77546,26.35395,30.50289,7514.27843
1_CP015839_1_Marinobacterium_aestuarii_strain_ST58_10__complete_genome_BAC,5191608,1546,58.79100,297.78816,157.30966,30.30076,7464.46416
1_CP011971_1_Steroidobacter_denitrificans_strain_DSM_18526__complete_genome_BAC,3467246,1023,61.66475,295.04651,104.09300,30.02181,7395.74085
1_HG916826_1_Pseudomonas_pseudoalcaligenes_CECT_5344_complete_genome_BAC,4686340,1346,62.35241,287.21774,136.95912,29.22518,7199.50229
1_CP023074_1_Enterococcus_thailandicus_strain_a523_chromosome__complete_genome_BAC,2646250,754,36.83936,284.93151,76.72153,28.99255,7142.19466
CP010939.1_Sporisorium_scitamineum_strain_SSC39_mitochondrion__complete_sequence,88018,25,32.38647,284.02636,2.54382,28.90107,7119.50587
1_CP013614_1_Enterococcus_silesiacus_strain_LMG_23085__complete_genome_BAC,3928141,1111,36.39667,282.83106,113.04724,28.77881,7089.54412
1_CP025001_1_Bacillus_siamensis_strain_SCSIO_05746_chromosome__complete_genome_BAC,4268316,1198,45.97541,280.67249,121.89972,28.55921,7035.43662
KN848906___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_488532___SO_supercontig,488532,136,47.84753,278.38618,13.83837,28.32643,6978.12714
1_AM902716_1_Bordetella_petrii_strain_DSM_12804__complete_genome_BAC,5287950,1407,65.49398,266.07665,143.16603,27.07401,6669.57200
1_AP008934_1_Staphylococcus_saprophyticus_subsp__saprophyticus_ATCC_15305_DNA__complete_genome_BAC,2516575,649,33.23619,257.88968,66.03750,26.24102,6464.35449
KN848899___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_711485___SO_supercontig,711485,180,47.97134,252.99376,18.31548,25.74260,6341.63171
1_LN906634_1_Lactobacillus_reuteri__complete_genome__strain_ATCC_53608_BAC,1943635,491,38.95241,252.61880,49.96057,25.70471,6332.23279
1_CP012366_1_Enterococcus_durans_strain_KLDS6_0933__complete_genome_BAC,2867028,702,37.98341,244.85269,71.43039,24.91444,6137.56469
1_HG322950_1_Pseudomonas_knackmussii_B13_complete_genome_BAC,6162905,1468,65.62635,238.19955,149.37295,24.23743,5970.79476
1_CP020773_1_Staphylococcus_lutrae_strain_ATCC_700373_chromosome__complete_genome_BAC,2533115,601,37.72368,237.25682,61.15337,24.14157,5947.16402
1_AE015929_1_Staphylococcus_epidermidis_ATCC_12228__complete_genome_BAC,2499279,581,32.09041,232.46695,59.11831,23.65415,5827.09940
1_CP017183_1_Enterobacter_xiangfangensis_strain_LMG27195__complete_genome_BAC,4661849,1048,55.27380,224.80346,106.63682,22.87436,5635.00357
1_CP003583_1_Enterococcus_faecium_DO__complete_genome_BAC,2698137,594,38.13944,220.15166,60.44110,22.40105,5518.39994
1_CP011132_1_Citrobacter_amalonaticus_Y19__complete_genome_BAC,5584358,1225,53.41333,219.36265,124.64705,22.32075,5498.62230
1_CP020448_2_Citrobacter_braakii_strain_FDAARGOS_253_chromosome__complete_genome_BAC,5244290,1115,52.01808,212.61219,113.45425,21.63386,5329.41299
1_CP011602_1_Phytobacter_ursingii_strain_CAV1151_chromosome__complete_genome_BAC,5529134,1167,52.74046,211.06395,118.74539,21.47631,5290.60409
1_CP014912_1_Lactobacillus_paracollinoides_strain_TMW_1_1979_chromosome__complete_genome_BAC,3235324,652,47.15801,201.52566,66.34275,20.50575,5051.51401
1_CP020618_1_Staphylococcus_hominis_subsp__hominis_strain_K1_chromosome__complete_genome_BAC,2253412,445,31.35331,197.47849,45.27995,20.09395,4950.06614
1_FO681494_1_Xanthomonas_fuscans_subsp__fuscans_str__4834_R__chromosome__complete_genome_BAC,4981995,965,64.82736,193.69731,98.19135,19.70924,4855.28579
1_CP017962_1_Virgibacillus_halodenitrificans_strain_PDB_F2_chromosome__complete_genome_BAC,3869935,747,37.47986,193.02625,76.00926,19.64097,4838.46471
1_AP009385_1_Burkholderia_multivorans_ATCC_17616_DNA__complete_genome__chromosome_1_BAC,3448421,664,66.89722,192.55195,67.56379,19.59267,4826.57581
1_CP009048_1_Pseudomonas_alkylphenolica_strain_KL28_chromosome__complete_genome_BAC,5764622,1030,60.62865,178.67613,104.80527,18.18077,4478.75956
KN848902___organism_Cryptococcus_gattii_CA1873___version_2015_02_17___length_577095___SO_supercontig,577095,103,48.05335,178.47860,10.48053,18.16082,4473.80817
1_CP011013_1_Lactobacillus_mucosae_LM1__complete_genome_BAC,2326299,410,46.45541,176.24554,41.71860,17.93347,4417.83350
1_CP000411_1_Oenococcus_oeni_PSU_1__complete_genome_BAC,1780517,303,37.87716,170.17501,30.83107,17.31579,4265.66731
1_CP008696_1_Pseudomonas_chlororaphis_strain_PA23__complete_genome_BAC,7122173,1197,62.64786,168.06675,121.79797,17.10124,4212.82116
1_CP000352_1_Cupriavidus_metallidurans_CH34__complete_genome_BAC,3928089,660,63.83132,168.02059,67.15678,17.09655,4211.66397
1_CP000680_1_Pseudomonas_mendocina_ymp__complete_genome_BAC,5072807,840,64.69438,165.58870,85.47226,16.84911,4150.70528
1_CP016278_1_Diaphorobacter_polyhydroxybutyrativorans_strain_SL_205_chromosome__complete_genome_BAC,4061276,669,66.66696,164.72639,68.07255,16.76137,4129.09042
1_AP013068_1_Pseudomonas_resinovorans_NBRC_106553_DNA__complete_geonome_BAC,6285863,1033,65.57082,164.33710,105.11053,16.72173,4119.33228
1_CR936503_1_Lactobacillus_sakei_strain_23K_complete_genome_BAC,1884661,300,41.25272,159.17991,30.52581,16.19697,3990.06021
1_AP007281_1_Lactobacillus_reuteri_JCM_1112_DNA__complete_genome_BAC,2039414,320,38.86985,156.90813,32.56086,15.96579,3933.11497
1_CP010415_1_Azotobacter_chroococcum_NCIMB_8003__complete_genome_BAC,4591803,708,66.28947,154.18790,72.04090,15.68902,3864.92884
1_CP001157_1_Azotobacter_vinelandii_DJ__complete_genome_BAC,5365318,823,65.69439,153.39253,83.74246,15.60811,3844.99176
1_CP012873_1_Weissella_cibaria_strain_CH2__complete_genome_BAC,2466961,377,45.08129,152.81966,38.36076,15.54980,3830.63216
1_CP000517_1_Lactobacillus_helveticus_DPC_4571__complete_genome_BAC,2080931,313,37.06815,150.41352,31.84859,15.30497,3770.31881
1_CP003668_1_Staphylococcus_warneri_SG1__complete_genome_BAC,2486042,373,32.72778,150.03781,37.95375,15.26674,3760.90123
1_HE999757_2_Carnobacterium_maltaromaticum_LMA28_complete_genome_BAC,3650416,515,34.51177,141.07966,52.40264,14.35525,3536.35294
1_CP012165_1_Enterobacter_hormaechei_subsp__xiangfangensis_strain_34978_chromosome__complete_genome_BAC,4930963,682,55.11823,138.30978,69.39533,14.07338,3466.92226
1_CP012257_1_Cronobacter_universalis_NCTC_9529__complete_genome_BAC,4307096,594,57.84732,137.91182,60.44110,14.03291,3456.94682
1_CP004014_1_Staphylococcus_pasteuri_SP1__complete_genome_BAC,2559946,352,32.70244,137.50269,35.81695,13.99129,3446.69131
1_AP012046_1_Tetragenococcus_halophilus_NBRC_12172_DNA__complete_genome_BAC,2562720,343,36.03267,133.84217,34.90117,13.61880,3354.93546
1_CP014067_2_Enterococcus_gallinarum_strain_FDAARGOS_163_chromosome__complete_genome_BAC,3733350,497,42.38992,133.12441,50.57109,13.54577,3336.94378
