species	read_count_below_10	RPMM_below_300
1_CP018622_1_Virgibacillus_dokdonensis_strain_21D_chromosome__complete_genome_BAC	yes	yes
1_CP022096_2_Staphylococcus_pettenkoferi_strain_FDAARGOS_288_chromosome__complete_genome_BAC	yes	yes
CP010922.1_Sporisorium_scitamineum_strain_SSC39_chromosome_10__complete_sequence	yes	yes
1_AE002098_2_Neisseria_meningitidis_MC58__complete_genome_BAC	yes	yes
1_CP017267_1_Vagococcus_teuberi_strain_DSM_21459_chromosome__complete_genome_BAC	yes	yes
1_CP011574_1_Klebsiella_aerogenes_strain_CAV1320_chromosome__complete_genome_BAC	yes	yes
1_CP023481_1_Bacillus_glycinifermentans_strain_KBN06P03352_chromosome__complete_genome_BAC	yes	yes
1_AP007255_1_Magnetospirillum_magneticum_AMB_1_DNA__complete_genome_BAC	yes	yes
1_CP017886_1_Pseudomonas_frederiksbergensis_strain_ERDD5_01_chromosome__complete_genome_BAC	yes	yes
1_CP026055_1_Aeromonas_caviae_strain_FDAARGOS_72_chromosome__complete_genome_BAC	yes	yes
1_CP017707_1_Chromobacterium_vaccinii_strain_21_1_chromosome__complete_genome_BAC	yes	yes
1_CP001503_2_Burkholderia_glumae_BGR1_chromosome_1__complete_sequence_BAC	yes	yes
1_CP014546_1_Pseudomonas_azotoformans_strain_S4__complete_genome_BAC	yes	yes
1_CP012400_2_Pseudomonas_yamanorum_strain_LBUM636_chromosome__complete_genome_BAC	yes	yes
1_CP001635_1_Variovorax_paradoxus_S110_chromosome_1__complete_sequence_BAC	yes	yes
NZ_CP059571.1_Neisseria_bacilliformis_strain_DSM_23338_chromosome__complete_genome	yes	yes
1_CP012554_1_Citrobacter_portucalensis_strain_P10159__complete_genome_BAC	yes	yes
1_CP015774_2_Lelliottia_amnigena_strain_ZB04__complete_genome_BAC	yes	yes
1_CP001616_1_Tolumonas_auensis_DSM_9187__complete_genome_BAC	yes	yes
1_CP007230_1_Yersinia_similis_strain_228__complete_genome_BAC	yes	yes
1_CP010409_1_Xanthomonas_sacchari_strain_R1__complete_genome_BAC	yes	yes
1_CP022753_1_Nocardiopsis_gilva_YIM_90087_chromosome__complete_genome_BAC	yes	yes
1_CP002272_1_Enterobacter_lignolyticus_SCF1__complete_genome_BAC	yes	yes
1_CP004045_1_Pseudomonas_poae_RE*1_1_14__complete_genome_BAC	yes	yes
1_CP017638_1_Dickeya_dianthicola_RNS04_9__complete_genome_BAC	yes	yes
1_AP012603_1_Bradyrhizobium_oligotrophicum_S58_DNA__complete_genome_BAC	yes	yes
1_CP020026_1_Rhodocyclaceae_bacterium_strain_Thauera_like_chromosome__complete_genome_BAC	yes	yes
1_CP007039_1_Pseudomonas_cichorii_JBC1__complete_genome_BAC	yes	yes
1_FN543093_2_Cronobacter_turicensis_z3032_complete_genome_BAC	yes	yes
1_FQ311875_1_Arthrobacter_arilaitensis_RE117_chromosome__complete_sequence_BAC	yes	yes
CP028535.1_Pichia_kudriavzevii_strain_CBS5147_chromosome_5__complete_sequence	yes	yes
1_CP020452_2_Neisseria_mucosa_strain_FDAARGOS_260_chromosome__complete_genome_BAC	yes	yes
1_CP018871_1_Acinetobacter_haemolyticus_strain_TJS01__complete_genome_BAC	yes	yes
1_AP012334_1_Scardovia_inopinata_JCM_12537_DNA__complete_genome_BAC	yes	yes
1_CP014870_1_Pseudomonas_silesiensis_strain_A3__complete_genome_BAC	yes	yes
1_CP010827_1_Corynebacterium_singulare_strain_IBS_B52218__complete_genome_BAC	yes	yes
1_CP015600_1_Pseudomonas_antarctica_strain_PAMC_27494_chromosome__complete_genome_BAC	yes	yes
1_CP007601_1_Staphylococcus_capitis_subsp__capitis_strain_AYP1020__complete_genome_BAC	yes	yes
1_CP025299_1_Microbacterium_hominis_strain_SJTG1_chromosome__complete_genome_BAC	yes	yes
1_CP012605_1_Ralstonia_insidiosa_strain_FC1138_chromosome_1__complete_sequence_BAC	yes	yes
1_AP006725_1_Klebsiella_pneumoniae_subsp__pneumoniae_NTUH_K2044_DNA__complete_genome_BAC	yes	yes
1_AP011548_1_Lactobacillus_rhamnosus_ATCC_53103_DNA__complete_genome_BAC	yes	yes
1_AE017333_1_Bacillus_licheniformis_DSM_13___ATCC_14580__complete_genome_BAC	yes	yes
1_CP004345_1_Morganella_morganii_subsp__morganii_KT__complete_genome_BAC	yes	yes
1_CP000387_1_Streptococcus_sanguinis_SK36__complete_genome_BAC	yes	yes
1_CP022386_1_Capnocytophaga_gingivalis_strain_H1496_chromosome__complete_genome_BAC	yes	yes
1_AE017180_2_Geobacter_sulfurreducens_PCA__complete_genome_BAC	yes	yes
CP019501.1_Zygosaccharomyces_parabailii_strain_ATCC_60483_chromosome_12__complete_sequence	yes	yes
CP021243.1_Kluyveromyces_lactis_strain_GG799_chromosome_E__complete_sequence	yes	yes
1_CP014912_1_Lactobacillus_paracollinoides_strain_TMW_1_1979_chromosome__complete_genome_BAC	yes	yes
1_CP007220_1_Mycobacterium_chelonae_CCUG_47445__complete_genome_BAC	yes	yes
1_CP004142_1_Raoultella_ornithinolytica_B6__complete_genome_BAC	yes	yes
1_CP000139_1_Bacteroides_vulgatus_ATCC_8482__complete_genome_BAC	yes	yes
1_CP026047_1_Raoultella_planticola_strain_FDAARGOS_64_chromosome__complete_genome_BAC	yes	yes
CP019500.1_Zygosaccharomyces_parabailii_strain_ATCC_60483_chromosome_11__complete_sequence	yes	yes
1_CP002580_1_Burkholderia_plantarii_strain_PG1_chromosome_1__complete_sequence_BAC	yes	yes
1_CP002607_1_Aeromonas_veronii_B565__complete_genome_BAC	yes	yes
1_CP001758_1_Leuconostoc_kimchii_IMSNU_11154__complete_genome_BAC	yes	yes
1_CP001154_1_Laribacter_hongkongensis_HLHK9__complete_genome_BAC	yes	yes
1_CT573326_1_Pseudomonas_entomophila_str__L48_chromosome_complete_sequence_BAC	yes	yes
1_CP018049_1_Pseudomonas_orientalis_strain_F9__complete_genome_BAC	yes	yes
1_CP006250_1_Serratia_plymuthica_4Rx13__complete_genome_BAC	yes	yes
1_1_1_13	yes	yes
1_HE717023_1_Halobacillus_halophilus_DSM_2266_complete_genome_BAC	yes	yes
CP010914.1_Sporisorium_scitamineum_strain_SSC39_chromosome_2__complete_sequence	yes	yes
1_CP025430_1_Paracoccus_zhejiangensis_strain_J6_chromosome__complete_genome_BAC	yes	yes
1_CP007626_1_Bacillus_pseudomycoides_strain_219298__complete_genome_BAC	yes	yes
1_CP000352_1_Cupriavidus_metallidurans_CH34__complete_genome_BAC	yes	yes
1_CP013923_1_Achromobacter_denitrificans_strain_USDA_ARS_USMARC_56712__complete_genome_BAC	yes	yes
1_CP009211_1_Corynebacterium_imitans_strain_DSM_44264__complete_genome_BAC	yes	yes
1_CP011568_3_Pandoraea_thiooxydans_strain_DSM_25325__complete_genome_BAC	yes	yes
1_AP008230_1_Desulfitobacterium_hafniense_Y51_DNA__complete_genome_BAC	yes	yes
ChrII_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_4070060_SO_chromosome	yes	yes
1_CT573213_2_Frankia_alni_str__ACN14A_chromosome__complete_sequence_BAC	yes	yes
1_CP003668_1_Staphylococcus_warneri_SG1__complete_genome_BAC	yes	yes
1_CP012366_1_Enterococcus_durans_strain_KLDS6_0933__complete_genome_BAC	yes	yes
1_CP007031_1_Marichromatium_purpuratum_984__complete_genome_BAC	yes	yes
1_1_1_14	yes	yes
CP003014.1_Thielavia_terrestris_NRRL_8126_chromosome_6__complete_sequence	yes	yes
CP009076.1_Verticillium_dahliae_JR2_chromosome_6__complete_sequence	yes	yes
CP009077.1_Verticillium_dahliae_JR2_chromosome_3__complete_sequence	yes	yes
1_CP000656_1_Mycobacterium_gilvum_PYR_GCK__complete_genome_BAC	yes	yes
1_AM167904_1_Bordetella_avium_197N_complete_genome_BAC	yes	yes
1_AM181176_4_Pseudomonas_fluorescens_SBW25_complete_genome_BAC	yes	yes
1_CP000613_2_Rhodospirillum_centenum_SW__complete_genome_BAC	yes	yes
1_CP013861_1_Pseudomonas_fragi_strain_P121__complete_genome_BAC	yes	yes
1_CP000544_1_Halorhodospira_halophila_SL1__complete_genome_BAC	yes	yes
1_CP026562_1_Pseudomonas_avellanae_strain_R2leaf_chromosome__complete_genome_BAC	yes	yes
1_CP001736_1_Kribbella_flavida_DSM_17836__complete_genome_BAC	yes	yes
1_CP000512_1_Acidovorax_citrulli_AAC00_1__complete_genome_BAC	yes	yes
1_CP001875_2_Pantoea_ananatis_LMG_20103__complete_genome_BAC	yes	yes
1_CP019706_1_Pantoea_alhagi_strain_LTYR_11Z__complete_genome_BAC	yes	yes
1_CP000284_1_Methylobacillus_flagellatus_KT__complete_genome_BAC	yes	yes
1_CP001392_1_Acidovorax_ebreus_TPSY__complete_genome_BAC	yes	yes
1_CP007790_1_Corynebacterium_marinum_DSM_44953__complete_genome_BAC	yes	yes
1_AP006618_1_Nocardia_farcinica_IFM_10152_DNA__complete_genome_BAC	yes	yes
1_CP008889_1_Dermacoccus_nishinomiyaensis_strain_M25__complete_genome_BAC	yes	yes
1_CP018197_1_Bacillus_safensis_strain_KCTC_12796BP_chromosome__complete_genome_BAC	yes	yes
1_CP023392_1_Lactococcus_raffinolactis_strain_WiKim0068_chromosome__complete_genome_BAC	yes	yes
1_1_1_1	yes	yes
NZ_LR134375.1_Veillonella_dispar_strain_NCTC11831_chromosome_1	yes	yes
NZ_CP040006.1_Schaalia_odontolytica_strain_XH001_chromosome__complete_genome	yes	yes
1_CP020121_1_Comamonas_kerstersii_strain_8943_chromosome__complete_genome_BAC	yes	yes
1_CP000758_1_Ochrobactrum_anthropi_ATCC_49188_chromosome_1__complete_sequence_BAC	yes	yes
1_CP021111_1_Bordetella_genomosp__13_strain_AU7206_chromosome__complete_genome_BAC	yes	yes
1_CP001628_1_Micrococcus_luteus_NCTC_2665__complete_genome_BAC	yes	yes
1_CP002191_1_Deinococcus_gobiensis_I_0__complete_genome_BAC	yes	yes
CP016238.1_Trichoderma_reesei_QM6a_chromosome_VII__complete_sequence	yes	yes
1_AP012054_1_Streptococcus_pasteurianus_ATCC_43144_DNA__complete_genome_BAC	yes	yes
1_CP009743_1_Burkholderia_contaminans_strain_MS14_chromosome_1__complete_sequence_BAC	yes	yes
1_CP015118_1_Rhizobacter_gummiphilus_strain_NS21__complete_genome_BAC	yes	yes
CP012823.1_Saccharomycopsis_fibuligera_strain_KPH12_chromosome_1__complete_sequence	yes	yes
1_CP011117_2_Pseudomonas_synxantha_strain_LBUM223_chromosome__complete_genome_BAC	yes	yes
1_CP003026_1_Enterobacter_soli_strain_LF7a__complete_genome_BAC	yes	yes
1_CP011130_1_Lysobacter_capsici_strain_55__complete_genome_BAC	yes	yes
1_CP002039_1_Herbaspirillum_seropedicae_SmR1__complete_genome_BAC	yes	yes
1_CP013141_1_Lysobacter_antibioticus_strain_ATCC_29479_genome_BAC	yes	yes
1_CP001654_1_Dickeya_paradisiaca_Ech703_chromosome__complete_genome_BAC	yes	yes
1_CP016428_1_Bradyrhizobium_icense_strain_LMTR_13__complete_genome_BAC	yes	yes
1_CP009571_1_Sphingomonas_taxi_strain_ATCC_55669__complete_genome_BAC	yes	yes
1_CP001655_1_Dickeya_chrysanthemi_Ech1591_chromosome__complete_genome_BAC	yes	yes
1_HG322949_1_Janthinobacterium_agaricidamnosum_NBRC_102515___DSM_9628__complete_genome_BAC	yes	yes
1_CP016162_1_Pseudomonas_alcaliphila_JAB1_chromosome__complete_genome_BAC	yes	yes
1_CP003326_1_Gottschalkia_acidurici_9a_chromosome__complete_genome_BAC	yes	yes
1_AP018680_1_Vibrio_casei_DSM_22364_DNA__chromosome_1__complete_geome_BAC	yes	yes
1_CP014176_1_Clostridium_argentinense_strain_89G_chromosome__complete_genome_BAC	yes	yes
CP016235.1_Trichoderma_reesei_QM6a_chromosome_IV__complete_sequence	yes	yes
CP019494.1_Zygosaccharomyces_parabailii_strain_ATCC_60483_chromosome_5__complete_sequence	yes	yes
1_CP010350_1_Acinetobacter_johnsonii_XBB1__complete_genome_BAC	yes	yes
1_CP003380_1_Methylophaga_frappieri_strain_JAM7__complete_genome_BAC	yes	yes
1_CP002102_1_Brevundimonas_subvibrioides_ATCC_15264__complete_genome_BAC	yes	yes
CP017558.1_Yarrowia_lipolytica_strain_CLIB89_W29__chromosome_1F__complete_sequence	yes	yes
1_AP012046_1_Tetragenococcus_halophilus_NBRC_12172_DNA__complete_genome_BAC	yes	yes
1_CP001068_1_Ralstonia_pickettii_12J_chromosome_1__complete_sequence_BAC	yes	yes
NZ_CP007055.1_Halostagnicola_larsenii_XH_48_chromosome__complete_genome	yes	yes
NC_014804.1_Thermococcus_barophilus_MP__complete_sequence	yes	yes
1_AP010968_1_Kitasatospora_setae_KM_6054_DNA__complete_genome_BAC	yes	yes
1_AE008922_1_Xanthomonas_campestris_pv__campestris_str__ATCC_33913__complete_genome_BAC	yes	yes
1_AP014680_1_Lactobacillus_hokkaidonensis_DNA__complete_genome_BAC	yes	yes
1_CP015639_1_Pseudomonas_lurida_strain_L228_chromosome__complete_genome_BAC	yes	yes
1_CP000245_1_Ramlibacter_tataouinensis_TTB310__complete_genome_BAC	yes	yes
1_CP016878_1_Xanthomonas_hortorum_strain_B07_007_chromosome__complete_genome_BAC	yes	yes
1_CP001982_1_Bacillus_megaterium_DSM319__complete_genome_BAC	yes	yes
1_CP002279_1_Mesorhizobium_opportunistum_WSM2075__complete_genome_BAC	yes	yes
1_CP016786_1_Clostridium_isatidis_strain_DSM_15098_chromosome__complete_genome_BAC	yes	yes
1_CP022413_2_Blautia_hansenii_DSM_20583_chromosome__complete_genome_BAC	yes	yes
1_CP016766_1_Lactobacillus_agilis_strain_La3__complete_genome_BAC	yes	yes
1_AP014630_1_Acinetobacter_guillouiae_DNA__complete_geonome__strain__NBRC_110550_BAC	yes	yes
1_CP000250_1_Rhodopseudomonas_palustris_HaA2__complete_genome_BAC	yes	yes
1_CP009450_1_Pluralibacter_gergoviae_strain_FB2_chromosome__complete_genome_BAC	yes	yes
1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC	yes	yes
1_CP009454_1_Pantoea_rwandensis_strain_ND04__complete_genome_BAC	yes	yes
1_AP014936_1_Sulfurifustis_variabilis_DNA__complete_genome__strain__skN76_BAC	yes	yes
1_CP002206_1_Pantoea_vagans_C9_1__complete_genome_BAC	yes	yes
1_FQ312002_1_Haemophilus_parainfluenzae_T3T1_complete_genome_BAC	yes	yes
1_CU207211_1_Herminiimonas_arsenicoxydans_chromosome__complete_sequence_BAC	yes	yes
1_FP236842_1_Erwinia_pyrifoliae_strain_Ep1_96_complete_chromosome_BAC	yes	yes
1_CP019342_1_Nonlabens_sediminis_strain_NBRC_100970_chromosome__complete_genome_BAC	yes	yes
1_CP019844_1_Borreliella_burgdorferi_strain_PAli__complete_genome_BAC	yes	yes
1_CP019343_1_Oceanicoccus_sagamiensis_strain_NBRC_107125_chromosome__complete_genome_BAC	yes	yes
1_CP023564_1_Brachybacterium_ginsengisoli_strain_DCY80_chromosome__complete_genome_BAC	yes	yes
1_CP023454_1_Rhodobacteraceae_bacterium_QY30_chromosome__complete_genome_BAC	yes	yes
1_CP019352_1_Lacinutrix_venerupis_strain_DOK2_8_chromosome__complete_genome_BAC	yes	yes
1_CP019875_1_Komagataeibacter_nataicola_strain_RZS01__complete_genome_BAC	yes	yes
1_CP019573_1_Auricoccus_indicus_strain_S31_chromosome__complete_genome_BAC	yes	yes
1_CP019605_1_Tessaracoccus_flavus_strain_RP1T__complete_genome_BAC	yes	yes
1_CP019602_1_Croceicoccus_marinus_strain_E4A9_chromosome__complete_genome_BAC	yes	yes
1_CP023965_1_Proteus_vulgaris_strain_FDAARGOS_366_chromosome__complete_genome_BAC	yes	yes
1_CP023558_1_Pseudoalteromonas_marina_strain_ECSMB14103_chromosome__complete_genome_BAC	yes	yes
1_CP019688_1_Corynebacterium_glaucum_strain_DSM_30827_chromosome__complete_genome_BAC	yes	yes
1_CP019607_1_Tessaracoccus_flavescens_strain_SST_39T__complete_genome_BAC	yes	yes
1_CP023536_1_Providencia_alcalifaciens_strain_FDAARGOS_408_chromosome__complete_genome_BAC	yes	yes
1_CP023482_1_Dermabacter_jinjuensis_strain_32T_chromosome__complete_genome_BAC	yes	yes
1_CP019698_1_Desulfotomaculum_ferrireducens_strain_GSS09_chromosome__complete_genome_BAC	yes	yes
1_CP019699_1_Novibacillus_thermophilus_strain_SG_1__complete_genome_BAC	yes	yes
1_CP023669_1_Methylomonas_koyamae_strain_LM6_chromosome__complete_genome_BAC	yes	yes
1_CP019683_1_Campylobacter_sputorum_bv__faecalis_CCUG_20703__complete_genome_BAC	yes	yes
1_CP019650_1_Microbulbifer_agarilyticus_strain_GP101__complete_genome_BAC	yes	yes
1_CP023668_1_Mesoplasma_lactucae_ATCC_49193_strain_831_C4_chromosome__complete_genome_BAC	yes	yes
1_CP019646_1_Phycisphaerae_bacterium_SM_Chi_D1__complete_genome_BAC	yes	yes
1_CP019645_1_Helicobacter_bilis_strain_AAQJH__complete_genome_BAC	yes	yes
1_CP023777_1_Chitinophagaceae_bacterium_13_chromosome__complete_genome_BAC	yes	yes
1_CP019636_1_Nostocales_cyanobacterium_HT_58_2__complete_genome_BAC	yes	yes
1_CP019633_1_Sedimentisphaera_cyanobacteriorum_strain_L21_RPul_D3_chromosome__complete_genome_BAC	yes	yes
1_CP023778_1_Nocardia_terpenica_strain_NC_YFY_NT001_chromosome__complete_genome_BAC	yes	yes
1_CP019630_1_Labrenzia_aggregata_strain_RMAR6_6_chromosome__complete_genome_BAC	yes	yes
1_CP023657_1_Acetobacter_pomorum_strain_BDGP5_chromosome__complete_genome_BAC	yes	yes
1_CP023819_1_Faecalibacterium_prausnitzii_strain_Indica_chromosome__complete_genome_BAC	yes	yes
1_CP019401_1_Planococcus_faecalis_strain_AJ003_chromosome__complete_genome_BAC	yes	yes
1_CP019419_1_Polaribacter_reichenbachii_strain_6Alg_8T__complete_genome_BAC	yes	yes
1_CP019701_2_Agrobacterium_rhizogenes_strain_K599_chromosome_1__complete_sequence_BAC	yes	yes
1_CP023863_1_Prevotella_jejuni_strain_CD3_33_chromosome_I__complete_sequence_BAC	yes	yes
1_CP019437_1_Thioclava_nitratireducens_strain_25B10_4_chromosome__complete_genome_BAC	yes	yes
1_CP023656_1_Halomonas_hydrothermalis_strain_Y2_chromosome__complete_genome_BAC	yes	yes
1_CP019697_1_Paenalcaligenes_hominis_strain_15S00501_chromosome__complete_genome_BAC	yes	yes
1_CP019628_1_Pseudoalteromonas_aliena_strain_EH1__complete_genome_BAC	yes	yes
1_CP019724_1_Streptomyces_pactum_strain_ACT12_chromosome__complete_genome_BAC	yes	yes
1_CP019450_1_Halioglobus_japonicus_strain_NBRC_107739_chromosome__complete_genome_BAC	yes	yes
1_CP019725_1_Xanthomonas_perforans_91_118_chromosome__complete_genome_BAC	yes	yes
1_CP019728_1_Jeotgalibaca_dankookensis_strain_EX_07_chromosome__complete_genome_BAC	yes	yes
1_CP019458_1_Streptomyces_autolyticus_strain_CGMCC0516__complete_genome_BAC	yes	yes
1_CP023737_1_Methylosinus_trichosporium_OB3b_chromosome__complete_genome_BAC	yes	yes
1_CP022983_1_Bacillus_kochii_strain_BDGP4_chromosome__complete_genome_BAC	yes	yes
1_CP019882_1_Mycobacterium_litorale_strain_F4_chromosome__complete_genome_BAC	yes	yes
1_CP019914_1_Brachyspira_hampsonii_strain_NSH_16_chromosome__complete_genome_BAC	yes	yes
1_CP022196_1_Celeribacter_ethanolicus_strain_TSPH2_chromosome__complete_genome_BAC	yes	yes
1_CP022163_1_Melittangium_boletus_DSM_14713_chromosome__complete_genome_BAC	yes	yes
1_CP022133_1_Idiomarina_piscisalsi_strain_10PY1A_chromosome__complete_genome_BAC	yes	yes
1_CP022132_1_Francisella_halioticida_strain_DSM_23729_chromosome__complete_genome_BAC	yes	yes
1_CP022130_1_Lactobacillus_pentosus_strain_SLC13_chromosome__complete_genome_BAC	yes	yes
1_CP022129_1_Methylovulum_psychrotolerans_strain_HV10_M2_chromosome__complete_genome_BAC	yes	yes
1_CP022121_1_Dehalobacterium_formicoaceticum_strain_DMC_chromosome__complete_genome_BAC	yes	yes
1_CP022110_1_Nitrospirillum_amazonense_CBAmc_chromosome_1__complete_sequence_BAC	yes	yes
1_CP022098_1_Cystobacter_fuscus_strain_DSM_52655_chromosome__complete_genome_BAC	yes	yes
1_CP022048_2_Brevundimonas_vesicularis_strain_FDAARGOS_289_chromosome__complete_genome_BAC	yes	yes
1_CP021996_1_Chlamydia_abortus_strain_GN6_chromosome__complete_genome_BAC	yes	yes
1_CP023067_1_Ensifer_sojae_CCBAU_05684_chromosome__complete_genome_BAC	yes	yes
1_CP021983_2_Halomicronema_hongdechloris_C2206_genome_BAC	yes	yes
1_CP021920_1_Bacillus_sonorensis_strain_SRCM101395_chromosome__complete_genome_BAC	yes	yes
1_CP021904_1_Alkalitalea_saponilacus_strain_SC_BZ_SP2_chromosome__complete_genome_BAC	yes	yes
1_CP021850_1_Pseudoclostridium_thermosuccinogenes_strain_DSM_5807_chromosome__complete_genome_BAC	yes	yes
1_CP021780_1_Paenibacillus_donghaensis_strain_KCTC_13049_chromosome__complete_genome_BAC	yes	yes
1_CP021748_1_Streptomyces_alboflavus_strain_MDJK44__complete_genome_BAC	yes	yes
1_CP021744_1_Streptomyces_albireticuli_strain_MDJK11_chromosome__complete_genome_BAC	yes	yes
1_CP021646_1_Pseudoalteromonas_piscicida_strain_DE2_B_chromosome_1__complete_sequence_BAC	yes	yes
1_CP021497_1_Legionella_endosymbiont_of_Polyplax_serrata_strain_PsAG_chromosome__complete_genome_BAC	yes	yes
1_CP021467_1_Komagataeibacter_europaeus_strain_SRCM101446_chromosome__complete_genome_BAC	yes	yes
1_CP021435_1_Halomonas_beimenensis_strain_NTU_111_chromosome__complete_genome_BAC	yes	yes
1_CP021431_1_Loktanella_vestfoldensis_strain_SMR4r__complete_genome_BAC	yes	yes
1_CP021425_1_Oleiphilus_messinensis_strain_ME102_chromosome__complete_genome_BAC	yes	yes
1_CP021404_1_Celeribacter_manganoxidans_strain_DY25_chromosome__complete_genome_BAC	yes	yes
1_CP023141_1_Aeromonas_dhakensis_strain_KN_Mc_6U21_chromosome__complete_genome_BAC	yes	yes
1_CP022272_1_Shewanella_marisflavi_strain_EP1_chromosome__complete_genome_BAC	yes	yes
1_CP022336_1_Sphingorhabdus_flavimaris_strain_SMR4y_chromosome__complete_genome_BAC	yes	yes
1_CP022347_1_Campylobacter_avium_LMG_24591_chromosome__complete_genome_BAC	yes	yes
1_CP022986_1_Chryseobacterium_camelliae_strain_Dolsongi_HT1__complete_genome_BAC	yes	yes
1_CP022957_1_Maribacter_cobaltidurans_strain_B1_chromosome__complete_genome_BAC	yes	yes
1_CP022889_1_Altererythrobacter_mangrovi_strain_C9_11_chromosome__complete_genome_BAC	yes	yes
1_CP022752_1_Actinopolyspora_erythraea_strain_YIM_90600_chromosome__complete_genome_BAC	yes	yes
1_CP022699_1_Acetobacter_tropicalis_strain_BDGP1_chromosome__complete_genome_BAC	yes	yes
1_CP022685_1_Streptomyces_formicae_strain_KY5_chromosome__complete_genome_BAC	yes	yes
1_CP022684_1_Ketobacter_alkanivorans_strain_GI5_chromosome__complete_genome_BAC	yes	yes
1_CP022657_1_Tumebacillus_algifaecis_strain_THMBR28_chromosome__complete_genome_BAC	yes	yes
1_CP022540_1_Antarctobacter_heliothermus_strain_SMS3_chromosome__complete_genome_BAC	yes	yes
1_CP022535_1_Spiroplasma_corruscae_strain_EC_1_chromosome__complete_genome_BAC	yes	yes
1_CP022530_1_Bacterioplanes_sanyensis_strain_NV9_chromosome__complete_genome_BAC	yes	yes
1_CP022528_1_Erythrobacter_flavus_strain_VG1_chromosome__complete_genome_BAC	yes	yes
1_CP022521_1_Actinoalloteichus_hoggarensis_strain_DSM_45943_chromosome__complete_genome_BAC	yes	yes
1_CP022515_1_Arenibacter_algicola_strain_SMS7_chromosome__complete_genome_BAC	yes	yes
1_CP023049_2_Chryseobacterium_piperi_strain_ATCC_BAA_1782_chromosome__complete_genome_BAC	yes	yes
1_CP022438_1_Streptomyces_peucetius_subsp__caesius_ATCC_27952_chromosome__complete_genome_BAC	yes	yes
1_CP022437_1_Virgibacillus_necropolis_strain_LMG_19488_chromosome__complete_genome_BAC	yes	yes
1_CP022423_1_Vitreoscilla_filiformis_strain_ATCC_15551_chromosome__complete_genome_BAC	yes	yes
